Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,1560,796,196,1467,0.2005,0.1826,0.3702,0.1256,0.1503
nnc.nnn,1560,796,209,1483,0.2147,0.2014,0.3470,0.1340,0.1572
ntc.nnn,1560,796,264,1426,0.2827,0.2652,0.4539,0.1692,0.2056
ntn.nnn,1560,796,244,1417,0.2743,0.2572,0.4395,0.1564,0.2026
lnn.nnn,1560,796,243,1452,0.2705,0.2546,0.4327,0.1558,0.1892
ltn.nnn,1560,796,282,1411,0.3517,0.3325,0.4983,0.1808,0.2484
ltc.nnn,1560,796,277,1415,0.3016,0.2827,0.4760,0.1776,0.2266
lnc.nnn,1560,796,237,1481,0.2148,0.2051,0.4073,0.1519,0.1763
bnn.nnn,1560,796,246,1474,0.2797,0.2607,0.4477,0.1577,0.1968
btc.nnn,1560,796,272,1439,0.2749,0.2572,0.4700,0.1744,0.2240
btn.nnn,1560,796,281,1415,0.3568,0.3360,0.4969,0.1801,0.2442
bnc.nnn,1560,796,231,1480,0.2034,0.1904,0.3844,0.1481,0.1743
atc.nnn,1560,796,261,1449,0.2597,0.2425,0.4535,0.1673,0.2188
atn.nnn,1560,796,286,1394,0.3602,0.3378,0.4891,0.1833,0.2499
anc.nnn,1560,796,220,1496,0.1879,0.1745,0.3721,0.1410,0.1622
ann.nnn,1560,796,255,1468,0.2966,0.2788,0.4379,0.1635,0.2037
nnn.nnc,1560,796,192,1465,0.1985,0.1785,0.3643,0.1231,0.1484
nnc.nnc,1560,796,209,1483,0.2147,0.2014,0.3470,0.1340,0.1572
ntc.nnc,1560,796,264,1426,0.2827,0.2652,0.4539,0.1692,0.2056
ntn.nnc,1560,796,244,1417,0.2743,0.2572,0.4395,0.1564,0.2026
lnn.nnc,1560,796,242,1452,0.2702,0.2543,0.4321,0.1551,0.1886
ltn.nnc,1560,796,282,1411,0.3517,0.3325,0.4983,0.1808,0.2484
ltc.nnc,1560,796,277,1415,0.3016,0.2827,0.4760,0.1776,0.2266
lnc.nnc,1560,796,237,1481,0.2148,0.2051,0.4073,0.1519,0.1763
bnn.nnc,1560,796,246,1474,0.2797,0.2608,0.4477,0.1577,0.1968
btc.nnc,1560,796,272,1439,0.2749,0.2572,0.4700,0.1744,0.2240
btn.nnc,1560,796,281,1415,0.3568,0.3360,0.4969,0.1801,0.2442
bnc.nnc,1560,796,231,1480,0.2034,0.1904,0.3844,0.1481,0.1743
atc.nnc,1560,796,261,1449,0.2597,0.2425,0.4535,0.1673,0.2188
atn.nnc,1560,796,286,1394,0.3602,0.3378,0.4891,0.1833,0.2499
anc.nnc,1560,796,220,1496,0.1879,0.1745,0.3721,0.1410,0.1622
ann.nnc,1560,796,255,1468,0.2967,0.2790,0.4379,0.1635,0.2037
nnn.ntc,1560,796,244,1417,0.2743,0.2572,0.4395,0.1564,0.2026
nnc.ntc,1560,796,269,1407,0.3023,0.2815,0.4630,0.1724,0.2189
ntc.ntc,1560,796,300,1382,0.3370,0.3204,0.5037,0.1923,0.2563
ntn.ntc,1560,796,272,1394,0.3348,0.3144,0.4869,0.1744,0.2458
lnn.ntc,1560,796,282,1411,0.3517,0.3325,0.4983,0.1808,0.2484
ltn.ntc,1560,796,298,1387,0.3766,0.3638,0.5125,0.1910,0.2628
ltc.ntc,1560,796,304,1392,0.3479,0.3320,0.5143,0.1949,0.2668
lnc.ntc,1560,796,283,1401,0.3017,0.2825,0.4891,0.1814,0.2407
bnn.ntc,1560,796,281,1415,0.3568,0.3360,0.4969,0.1801,0.2442
btc.ntc,1560,796,300,1410,0.3219,0.3091,0.4989,0.1923,0.2586
btn.ntc,1560,796,300,1396,0.3723,0.3577,0.5108,0.1923,0.2611
bnc.ntc,1560,796,277,1411,0.2808,0.2648,0.4728,0.1776,0.2337
atc.ntc,1560,796,286,1412,0.3016,0.2904,0.4828,0.1833,0.2479
atn.ntc,1560,796,292,1386,0.3750,0.3581,0.4913,0.1872,0.2631
anc.ntc,1560,796,268,1412,0.2745,0.2567,0.4626,0.1718,0.2314
ann.ntc,1560,796,286,1394,0.3602,0.3378,0.4891,0.1833,0.2499
nnn.ntn,1560,796,244,1417,0.2743,0.2572,0.4395,0.1564,0.2026
nnc.ntn,1560,796,269,1407,0.3023,0.2815,0.4630,0.1724,0.2189
ntc.ntn,1560,796,300,1382,0.3370,0.3204,0.5037,0.1923,0.2563
ntn.ntn,1560,796,272,1394,0.3348,0.3144,0.4869,0.1744,0.2458
lnn.ntn,1560,796,282,1411,0.3517,0.3325,0.4983,0.1808,0.2484
ltn.ntn,1560,796,298,1387,0.3766,0.3638,0.5125,0.1910,0.2628
ltc.ntn,1560,796,304,1392,0.3479,0.3320,0.5143,0.1949,0.2668
lnc.ntn,1560,796,283,1401,0.3017,0.2825,0.4891,0.1814,0.2407
bnn.ntn,1560,796,281,1415,0.3568,0.3360,0.4969,0.1801,0.2442
btc.ntn,1560,796,300,1410,0.3219,0.3091,0.4989,0.1923,0.2586
btn.ntn,1560,796,300,1396,0.3723,0.3577,0.5108,0.1923,0.2611
bnc.ntn,1560,796,277,1411,0.2808,0.2648,0.4728,0.1776,0.2337
atc.ntn,1560,796,286,1412,0.3016,0.2904,0.4828,0.1833,0.2479
atn.ntn,1560,796,292,1386,0.3750,0.3581,0.4913,0.1872,0.2631
anc.ntn,1560,796,268,1412,0.2745,0.2567,0.4626,0.1718,0.2314
ann.ntn,1560,796,286,1394,0.3602,0.3378,0.4891,0.1833,0.2499
nnn.lnn,1560,796,196,1478,0.1982,0.1820,0.3648,0.1256,0.1502
nnc.lnn,1560,796,212,1495,0.2240,0.2102,0.3456,0.1359,0.1596
ntc.lnn,1560,796,271,1439,0.2826,0.2620,0.4706,0.1737,0.2021
ntn.lnn,1560,796,242,1425,0.2703,0.2538,0.4408,0.1551,0.1932
lnn.lnn,1560,796,245,1468,0.2610,0.2467,0.4312,0.1571,0.1835
ltn.lnn,1560,796,279,1402,0.3603,0.3409,0.4974,0.1788,0.2479
ltc.lnn,1560,796,278,1424,0.2941,0.2788,0.4779,0.1782,0.2265
lnc.lnn,1560,796,242,1487,0.2209,0.2085,0.4132,0.1551,0.1796
bnn.lnn,1560,796,242,1465,0.2787,0.2612,0.4354,0.1551,0.1957
btc.lnn,1560,796,273,1442,0.2785,0.2617,0.4730,0.1750,0.2246
btn.lnn,1560,796,281,1421,0.3569,0.3383,0.4999,0.1801,0.2437
bnc.lnn,1560,796,232,1483,0.2093,0.1975,0.3862,0.1487,0.1745
atc.lnn,1560,796,266,1448,0.2615,0.2465,0.4602,0.1705,0.2220
atn.lnn,1560,796,285,1403,0.3597,0.3386,0.4894,0.1827,0.2478
anc.lnn,1560,796,218,1506,0.1919,0.1800,0.3530,0.1397,0.1606
ann.lnn,1560,796,254,1464,0.2997,0.2829,0.4374,0.1628,0.2036
nnn.ltn,1560,796,242,1425,0.2703,0.2538,0.4408,0.1551,0.1932
nnc.ltn,1560,796,275,1421,0.2979,0.2809,0.4718,0.1763,0.2125
ntc.ltn,1560,796,302,1382,0.3451,0.3281,0.5133,0.1936,0.2573
ntn.ltn,1560,796,267,1396,0.3359,0.3171,0.4814,0.1712,0.2414
