Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,780,796,119,756,0.2029,0.1829,0.2484,0.1526,0.1724
nnc.nnn,780,796,143,756,0.2162,0.2018,0.2486,0.1833,0.2038
ntc.nnn,780,796,183,741,0.2844,0.2665,0.3475,0.2346,0.2633
ntn.nnn,780,796,161,727,0.2766,0.2589,0.3299,0.2064,0.2455
lnn.nnn,780,796,159,743,0.2735,0.2569,0.3110,0.2038,0.2327
ltn.nnn,780,796,191,724,0.3580,0.3390,0.3890,0.2449,0.3053
ltc.nnn,780,796,187,738,0.3040,0.2824,0.3515,0.2397,0.2798
lnc.nnn,780,796,147,757,0.2192,0.2082,0.2596,0.1885,0.2093
bnn.nnn,780,796,164,746,0.2827,0.2627,0.3204,0.2103,0.2470
btc.nnn,780,796,177,738,0.2779,0.2595,0.3149,0.2269,0.2705
btn.nnn,780,796,187,723,0.3600,0.3384,0.3738,0.2397,0.2971
bnc.nnn,780,796,144,755,0.2066,0.1925,0.2629,0.1846,0.2073
atc.nnn,780,796,171,736,0.2622,0.2419,0.3061,0.2192,0.2654
atn.nnn,780,796,199,719,0.3659,0.3416,0.4073,0.2551,0.3121
anc.nnn,780,796,134,766,0.1908,0.1756,0.2261,0.1718,0.1897
ann.nnn,780,796,171,749,0.3010,0.2795,0.3363,0.2192,0.2556
nnn.nnc,780,796,118,754,0.2000,0.1788,0.2478,0.1513,0.1718
nnc.nnc,780,796,143,756,0.2162,0.2018,0.2486,0.1833,0.2038
ntc.nnc,780,796,183,741,0.2844,0.2665,0.3475,0.2346,0.2633
ntn.nnc,780,796,161,727,0.2766,0.2589,0.3299,0.2064,0.2455
lnn.nnc,780,796,158,743,0.2731,0.2566,0.3091,0.2026,0.2314
ltn.nnc,780,796,191,724,0.3580,0.3390,0.3890,0.2449,0.3053
ltc.nnc,780,796,187,738,0.3040,0.2824,0.3515,0.2397,0.2798
lnc.nnc,780,796,147,757,0.2192,0.2082,0.2596,0.1885,0.2093
bnn.nnc,780,796,164,746,0.2827,0.2627,0.3204,0.2103,0.2470
btc.nnc,780,796,177,738,0.2779,0.2595,0.3149,0.2269,0.2705
btn.nnc,780,796,187,723,0.3600,0.3384,0.3738,0.2397,0.2971
bnc.nnc,780,796,144,755,0.2066,0.1925,0.2629,0.1846,0.2073
atc.nnc,780,796,171,736,0.2622,0.2419,0.3061,0.2192,0.2654
atn.nnc,780,796,199,719,0.3659,0.3416,0.4073,0.2551,0.3121
anc.nnc,780,796,134,766,0.1908,0.1756,0.2261,0.1718,0.1897
ann.nnc,780,796,171,749,0.3011,0.2797,0.3363,0.2192,0.2556
nnn.ntc,780,796,161,727,0.2766,0.2589,0.3299,0.2064,0.2455
nnc.ntc,780,796,190,726,0.3032,0.2839,0.3420,0.2436,0.2822
ntc.ntc,780,796,204,719,0.3388,0.3214,0.3856,0.2615,0.3151
ntn.ntc,780,796,190,718,0.3380,0.3185,0.3804,0.2436,0.3064
lnn.ntc,780,796,191,724,0.3580,0.3390,0.3890,0.2449,0.3053
ltn.ntc,780,796,197,714,0.3793,0.3657,0.3920,0.2526,0.3146
ltc.ntc,780,796,203,717,0.3502,0.3336,0.3874,0.2603,0.3220
lnc.ntc,780,796,189,725,0.3028,0.2837,0.3555,0.2423,0.2919
bnn.ntc,780,796,187,723,0.3600,0.3384,0.3738,0.2397,0.2971
btc.ntc,780,796,189,731,0.3246,0.3100,0.3631,0.2423,0.2994
btn.ntc,780,796,199,721,0.3750,0.3590,0.3917,0.2551,0.3143
