Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,780,796,53,766,0.0853,0.0777,0.0895,0.0679,0.0859
nnc.nnn,780,796,102,758,0.1458,0.1189,0.1737,0.1308,0.1502
ntc.nnn,780,796,198,751,0.2689,0.2454,0.3329,0.2538,0.2823
ntn.nnn,780,796,138,766,0.1964,0.1768,0.2590,0.1769,0.1949
lnn.nnn,780,796,118,766,0.1612,0.1390,0.2087,0.1513,0.1692
ltn.nnn,780,796,195,738,0.2891,0.2691,0.3639,0.2500,0.2812
ltc.nnn,780,796,221,734,0.3099,0.2902,0.3744,0.2833,0.3242
lnc.nnn,780,796,133,753,0.1663,0.1468,0.2158,0.1705,0.1968
bnn.nnn,780,796,137,766,0.1841,0.1573,0.2330,0.1756,0.1936
btc.nnn,780,796,209,751,0.2914,0.2742,0.3380,0.2679,0.3039
btn.nnn,780,796,194,738,0.2891,0.2715,0.3666,0.2487,0.2747
bnc.nnn,780,796,120,762,0.1451,0.1284,0.1907,0.1538,0.1723
atc.nnn,780,796,198,755,0.2382,0.2264,0.2869,0.2538,0.2753
atn.nnn,780,796,203,751,0.2954,0.2821,0.3386,0.2603,0.2834
anc.nnn,780,796,99,770,0.1087,0.0990,0.1326,0.1269,0.1295
ann.nnn,780,796,151,766,0.2054,0.1839,0.2415,0.1936,0.2115
nnn.nnc,780,796,52,766,0.0848,0.0778,0.0885,0.0667,0.0846
nnc.nnc,780,796,102,758,0.1458,0.1189,0.1737,0.1308,0.1502
ntc.nnc,780,796,198,751,0.2689,0.2454,0.3329,0.2538,0.2823
ntn.nnc,780,796,138,766,0.1964,0.1768,0.2590,0.1769,0.1949
lnn.nnc,780,796,118,766,0.1613,0.1391,0.2087,0.1513,0.1692
ltn.nnc,780,796,195,738,0.2891,0.2691,0.3639,0.2500,0.2812
ltc.nnc,780,796,221,734,0.3099,0.2902,0.3744,0.2833,0.3242
lnc.nnc,780,796,133,753,0.1663,0.1468,0.2158,0.1705,0.1968
bnn.nnc,780,796,136,766,0.1841,0.1573,0.2282,0.1744,0.1923
btc.nnc,780,796,209,751,0.2914,0.2742,0.3380,0.2679,0.3039
btn.nnc,780,796,194,738,0.2891,0.2715,0.3666,0.2487,0.2747
bnc.nnc,780,796,120,762,0.1451,0.1284,0.1907,0.1538,0.1723
atc.nnc,780,796,198,755,0.2382,0.2264,0.2869,0.2538,0.2753
atn.nnc,780,796,203,751,0.2954,0.2821,0.3386,0.2603,0.2834
anc.nnc,780,796,99,770,0.1087,0.0990,0.1326,0.1269,0.1295
ann.nnc,780,796,151,766,0.2054,0.1839,0.2415,0.1936,0.2115
nnn.ntc,780,796,138,766,0.1964,0.1768,0.2590,0.1769,0.1949
nnc.ntc,780,796,214,741,0.2862,0.2679,0.3315,0.2744,0.3141
ntc.ntc,780,796,231,724,0.3510,0.3334,0.3940,0.2962,0.3532
ntn.ntc,780,796,196,730,0.3097,0.2941,0.3690,0.2513,0.2978
lnn.ntc,780,796,195,738,0.2891,0.2691,0.3639,0.2500,0.2812
ltn.ntc,780,796,214,723,0.3537,0.3376,0.3908,0.2744,0.3321
ltc.ntc,780,796,233,728,0.3583,0.3438,0.3910,0.2987,0.3553
lnc.ntc,780,796,226,726,0.3017,0.2885,0.3727,0.2897,0.3308
bnn.ntc,780,796,194,738,0.2891,0.2715,0.3666,0.2487,0.2747
btc.ntc,780,796,223,737,0.3301,0.3147,0.3604,0.2859,0.3282
btn.ntc,780,796,212,716,0.3472,0.3353,0.3979,0.2718,0.3266
bnc.ntc,780,796,208,742,0.2878,0.2737,0.3552,0.2667,0.3046
atc.ntc,780,796,210,740,0.3053,0.2925,0.3358,0.2692,0.3159
atn.ntc,780,796,204,720,0.3414,0.3322,0.3569,0.2615,0.3147
anc.ntc,780,796,186,752,0.2385,0.2237,0.2801,0.2385,0.2596
ann.ntc,780,796,203,751,0.2954,0.2821,0.3386,0.2603,0.2834
nnn.ntn,780,796,138,766,0.1964,0.1768,0.2590,0.1769,0.1949
nnc.ntn,780,796,214,741,0.2862,0.2679,0.3315,0.2744,0.3141
ntc.ntn,780,796,231,724,0.3510,0.3334,0.3940,0.2962,0.3532
ntn.ntn,780,796,196,730,0.3097,0.2941,0.3690,0.2513,0.2978
lnn.ntn,780,796,195,738,0.2891,0.2691,0.3639,0.2500,0.2812
ltn.ntn,780,796,214,723,0.3537,0.3376,0.3908,0.2744,0.3321
ltc.ntn,780,796,233,728,0.3583,0.3438,0.3910,0.2987,0.3553
lnc.ntn,780,796,226,726,0.3017,0.2885,0.3727,0.2897,0.3308
bnn.ntn,780,796,194,738,0.2891,0.2715,0.3666,0.2487,0.2747
btc.ntn,780,796,223,737,0.3301,0.3147,0.3604,0.2859,0.3282
btn.ntn,780,796,212,716,0.3472,0.3353,0.3979,0.2718,0.3266
bnc.ntn,780,796,208,742,0.2878,0.2737,0.3552,0.2667,0.3046
atc.ntn,780,796,210,740,0.3053,0.2925,0.3358,0.2692,0.3159
atn.ntn,780,796,204,720,0.3414,0.3322,0.3569,0.2615,0.3147
anc.ntn,780,796,186,752,0.2385,0.2237,0.2801,0.2385,0.2596
ann.ntn,780,796,203,751,0.2954,0.2821,0.3386,0.2603,0.2834
nnn.lnn,780,796,50,766,0.0844,0.0769,0.0827,0.0641,0.0821
nnc.lnn,780,796,114,755,0.1506,0.1266,0.1774,0.1462,0.1676
ntc.lnn,780,796,202,745,0.2697,0.2523,0.3215,0.2590,0.2891
ntn.lnn,780,796,144,766,0.2039,0.1885,0.2674,0.1846,0.2026
lnn.lnn,780,796,117,766,0.1563,0.1363,0.1969,0.1500,0.1679
ltn.lnn,780,796,188,751,0.2765,0.2586,0.3370,0.2410,0.2630
ltc.lnn,780,796,228,745,0.2983,0.2782,0.3750,0.2923,0.3156
lnc.lnn,780,796,133,755,0.1661,0.1488,0.2126,0.1705,0.1920
bnn.lnn,780,796,136,766,0.1837,0.1555,0.2249,0.1744,0.1923
btc.lnn,780,796,210,755,0.2855,0.2659,0.3202,0.2692,0.2907
btn.lnn,780,796,190,756,0.2775,0.2590,0.3558,0.2436,0.2652
bnc.lnn,780,796,123,761,0.1538,0.1389,0.1944,0.1577,0.1763
atc.lnn,780,796,198,766,0.2475,0.2332,0.2796,0.2538,0.2718
atn.lnn,780,796,203,761,0.2952,0.2831,0.3226,0.2603,0.2801
anc.lnn,780,796,106,769,0.1179,0.1082,0.1379,0.1359,0.1394
ann.lnn,780,796,150,766,0.2000,0.1845,0.2338,0.1923,0.2103
nnn.ltn,780,796,144,766,0.2039,0.1885,0.2674,0.1846,0.2026
nnc.ltn,780,796,213,746,0.2832,0.2668,0.3239,0.2731,0.3027
ntc.ltn,780,796,239,726,0.3527,0.3410,0.4040,0.3064,0.3623
ntn.ltn,780,796,191,731,0.3134,0.3003,0.3651,0.2449,0.2904
lnn.ltn,780,796,188,751,0.2765,0.2586,0.3370,0.2410,0.2630
ltn.ltn,780,796,214,722,0.3548,0.3387,0.3924,0.2744,0.3329
ltc.ltn,780,796,238,733,0.3571,0.3467,0.3781,0.3051,0.3488
lnc.ltn,780,796,227,742,0.2958,0.2851,0.3813,0.2910,0.3152
