Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,1560,796,186,1470,0.1824,0.1639,0.3420,0.1192,0.1474
nnc.nnn,1560,796,228,1476,0.2388,0.2190,0.3458,0.1462,0.1885
ntc.nnn,1560,796,310,1430,0.3204,0.2970,0.4778,0.1987,0.2603
ntn.nnn,1560,796,266,1433,0.2719,0.2508,0.4565,0.1705,0.2176
lnn.nnn,1560,796,251,1420,0.2755,0.2592,0.4233,0.1609,0.2038
ltn.nnn,1560,796,311,1405,0.3616,0.3415,0.5210,0.1994,0.2612
ltc.nnn,1560,796,337,1424,0.3513,0.3302,0.5150,0.2160,0.2786
lnc.nnn,1560,796,252,1478,0.2179,0.1993,0.3910,0.1615,0.1872
bnn.nnn,1560,796,260,1441,0.2872,0.2719,0.4341,0.1667,0.2129
btc.nnn,1560,796,332,1438,0.3246,0.3107,0.5048,0.2128,0.2569
btn.nnn,1560,796,316,1390,0.3554,0.3353,0.5290,0.2026,0.2664
bnc.nnn,1560,796,245,1476,0.1903,0.1769,0.3793,0.1571,0.1794
atc.nnn,1560,796,311,1457,0.2957,0.2849,0.4661,0.1994,0.2413
atn.nnn,1560,796,325,1387,0.3602,0.3423,0.5263,0.2083,0.2610
anc.nnn,1560,796,230,1497,0.1621,0.1489,0.3476,0.1474,0.1586
ann.nnn,1560,796,273,1465,0.2900,0.2681,0.4405,0.1750,0.2033
nnn.nnc,1560,796,184,1470,0.1825,0.1640,0.3390,0.1179,0.1461
nnc.nnc,1560,796,229,1476,0.2423,0.2222,0.3462,0.1468,0.1891
ntc.nnc,1560,796,310,1430,0.3204,0.2970,0.4778,0.1987,0.2603
ntn.nnc,1560,796,266,1433,0.2719,0.2508,0.4565,0.1705,0.2176
lnn.nnc,1560,796,251,1420,0.2753,0.2592,0.4233,0.1609,0.2038
ltn.nnc,1560,796,311,1405,0.3616,0.3415,0.5210,0.1994,0.2612
ltc.nnc,1560,796,337,1424,0.3513,0.3302,0.5150,0.2160,0.2786
lnc.nnc,1560,796,252,1478,0.2179,0.1993,0.3910,0.1615,0.1872
bnn.nnc,1560,796,260,1441,0.2872,0.2719,0.4341,0.1667,0.2129
btc.nnc,1560,796,332,1438,0.3246,0.3107,0.5048,0.2128,0.2569
btn.nnc,1560,796,316,1390,0.3554,0.3353,0.5290,0.2026,0.2664
