Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,3375,1837,97,3375,0.0389,0.0341,0.0536,0.0287,0.0287
nnc.nnn,3375,1837,452,3313,0.2362,0.2201,0.2840,0.1339,0.1489
ntc.nnn,3375,1837,690,3258,0.3638,0.3551,0.4227,0.2044,0.2296
ntn.nnn,3375,1837,456,3345,0.1971,0.1808,0.2761,0.1351,0.1406
lnn.nnn,3375,1837,373,3361,0.1638,0.1451,0.2204,0.1105,0.1121
ltn.nnn,3375,1837,675,3265,0.3440,0.3331,0.4230,0.2000,0.2208
ltc.nnn,3375,1837,740,3206,0.3954,0.3854,0.4592,0.2193,0.2514
lnc.nnn,3375,1837,568,3297,0.3010,0.2850,0.3605,0.1683,0.1841
bnn.nnn,3375,1837,462,3333,0.2199,0.2027,0.2816,0.1369,0.1458
btc.nnn,3375,1837,720,3229,0.3831,0.3725,0.4513,0.2133,0.2414
btn.nnn,3375,1837,682,3246,0.3527,0.3416,0.4332,0.2021,0.2275
bnc.nnn,3375,1837,561,3296,0.2870,0.2689,0.3579,0.1662,0.1816
atc.nnn,3375,1837,651,3271,0.3432,0.3297,0.4133,0.1929,0.2129
atn.nnn,3375,1837,680,3216,0.3686,0.3589,0.4352,0.2015,0.2368
anc.nnn,3375,1837,495,3326,0.2514,0.2373,0.3212,0.1467,0.1552
ann.nnn,3375,1837,558,3313,0.2752,0.2609,0.3472,0.1653,0.1770
nnn.nnc,3375,1837,98,3375,0.0386,0.0336,0.0547,0.0290,0.0290
nnc.nnc,3375,1837,452,3313,0.2361,0.2201,0.2840,0.1339,0.1489
ntc.nnc,3375,1837,690,3258,0.3638,0.3551,0.4227,0.2044,0.2296
ntn.nnc,3375,1837,456,3345,0.1971,0.1808,0.2761,0.1351,0.1406
lnn.nnc,3375,1837,374,3361,0.1638,0.1451,0.2207,0.1108,0.1124
ltn.nnc,3375,1837,675,3265,0.3440,0.3331,0.4230,0.2000,0.2208
ltc.nnc,3375,1837,740,3206,0.3954,0.3854,0.4592,0.2193,0.2514
lnc.nnc,3375,1837,568,3297,0.3010,0.2850,0.3605,0.1683,0.1841
bnn.nnc,3375,1837,462,3333,0.2199,0.2027,0.2816,0.1369,0.1458
btc.nnc,3375,1837,720,3229,0.3831,0.3725,0.4513,0.2133,0.2414
btn.nnc,3375,1837,682,3246,0.3527,0.3416,0.4332,0.2021,0.2275
bnc.nnc,3375,1837,561,3296,0.2870,0.2689,0.3579,0.1662,0.1816
atc.nnc,3375,1837,651,3271,0.3432,0.3297,0.4133,0.1929,0.2129
atn.nnc,3375,1837,680,3216,0.3686,0.3589,0.4352,0.2015,0.2368
anc.nnc,3375,1837,495,3326,0.2514,0.2373,0.3212,0.1467,0.1552
ann.nnc,3375,1837,558,3313,0.2751,0.2608,0.3472,0.1653,0.1770
nnn.ntc,3375,1837,456,3345,0.1971,0.1808,0.2761,0.1351,0.1406
nnc.ntc,3375,1837,729,3211,0.3830,0.3726,0.4628,0.2160,0.2511
ntc.ntc,3375,1837,771,3209,0.4079,0.4024,0.4784,0.2284,0.2649
ntn.ntc,3375,1837,680,3264,0.3338,0.3248,0.4291,0.2015,0.2192
lnn.ntc,3375,1837,675,3265,0.3440,0.3331,0.4230,0.2000,0.2208
ltn.ntc,3375,1837,730,3243,0.3742,0.3692,0.4636,0.2163,0.2411
ltc.ntc,3375,1837,769,3203,0.4121,0.4077,0.4861,0.2279,0.2631
lnc.ntc,3375,1837,769,3188,0.4239,0.4194,0.4844,0.2279,0.2704
bnn.ntc,3375,1837,682,3246,0.3527,0.3416,0.4332,0.2021,0.2275
btc.ntc,3375,1837,747,3208,0.3948,0.3892,0.4724,0.2213,0.2546
btn.ntc,3375,1837,714,3232,0.3683,0.3600,0.4557,0.2116,0.2383
bnc.ntc,3375,1837,768,3188,0.4152,0.4093,0.4834,0.2276,0.2714
atc.ntc,3375,1837,676,3241,0.3600,0.3509,0.4336,0.2003,0.2290
atn.ntc,3375,1837,672,3228,0.3594,0.3501,0.4379,0.1991,0.2306
anc.ntc,3375,1837,709,3228,0.3833,0.3742,0.4537,0.2101,0.2434
ann.ntc,3375,1837,680,3216,0.3686,0.3589,0.4352,0.2015,0.2368
nnn.ntn,3375,1837,456,3345,0.1971,0.1808,0.2761,0.1351,0.1406
nnc.ntn,3375,1837,729,3211,0.3830,0.3726,0.4628,0.2160,0.2511
ntc.ntn,3375,1837,771,3209,0.4079,0.4024,0.4784,0.2284,0.2649
ntn.ntn,3375,1837,680,3264,0.3338,0.3248,0.4291,0.2015,0.2192
lnn.ntn,3375,1837,675,3265,0.3440,0.3331,0.4230,0.2000,0.2208
ltn.ntn,3375,1837,730,3243,0.3742,0.3692,0.4636,0.2163,0.2411
ltc.ntn,3375,1837,769,3203,0.4121,0.4077,0.4861,0.2279,0.2631
lnc.ntn,3375,1837,769,3188,0.4239,0.4194,0.4844,0.2279,0.2704
bnn.ntn,3375,1837,682,3246,0.3527,0.3416,0.4332,0.2021,0.2275
btc.ntn,3375,1837,747,3208,0.3948,0.3892,0.4724,0.2213,0.2546
btn.ntn,3375,1837,714,3232,0.3683,0.3600,0.4557,0.2116,0.2383
bnc.ntn,3375,1837,768,3188,0.4152,0.4093,0.4834,0.2276,0.2714
atc.ntn,3375,1837,676,3241,0.3600,0.3509,0.4336,0.2003,0.2290
atn.ntn,3375,1837,672,3228,0.3594,0.3501,0.4379,0.1991,0.2306
anc.ntn,3375,1837,709,3228,0.3833,0.3742,0.4537,0.2101,0.2434
ann.ntn,3375,1837,680,3216,0.3686,0.3589,0.4352,0.2015,0.2368
nnn.lnn,3375,1837,99,3375,0.0397,0.0343,0.0562,0.0293,0.0293
nnc.lnn,3375,1837,477,3316,0.2499,0.2308,0.3005,0.1413,0.1553
ntc.lnn,3375,1837,705,3252,0.3718,0.3628,0.4322,0.2089,0.2367
ntn.lnn,3375,1837,468,3346,0.2042,0.1880,0.2850,0.1387,0.1440
lnn.lnn,3375,1837,376,3357,0.1674,0.1500,0.2225,0.1114,0.1135
ltn.lnn,3375,1837,678,3263,0.3479,0.3362,0.4252,0.2009,0.2218
ltc.lnn,3375,1837,747,3201,0.3982,0.3886,0.4638,0.2213,0.2556
lnc.lnn,3375,1837,577,3296,0.3067,0.2902,0.3668,0.1710,0.1862
bnn.lnn,3375,1837,464,3330,0.2219,0.2036,0.2830,0.1375,0.1477
btc.lnn,3375,1837,725,3216,0.3868,0.3766,0.4569,0.2148,0.2471
btn.lnn,3375,1837,683,3248,0.3538,0.3426,0.4328,0.2024,0.2274
bnc.lnn,3375,1837,569,3296,0.2929,0.2738,0.3638,0.1686,0.1829
atc.lnn,3375,1837,659,3273,0.3480,0.3338,0.4190,0.1953,0.2141
atn.lnn,3375,1837,682,3214,0.3684,0.3589,0.4372,0.2021,0.2380
anc.lnn,3375,1837,502,3330,0.2590,0.2453,0.3219,0.1487,0.1569
ann.lnn,3375,1837,561,3309,0.2761,0.2624,0.3488,0.1662,0.1801
nnn.ltn,3375,1837,468,3346,0.2042,0.1880,0.2850,0.1387,0.1440
nnc.ltn,3375,1837,726,3206,0.3848,0.3736,0.4599,0.2151,0.2521
ntc.ltn,3375,1837,773,3207,0.4080,0.4023,0.4785,0.2290,0.2661
ntn.ltn,3375,1837,678,3267,0.3353,0.3259,0.4274,0.2009,0.2182
lnn.ltn,3375,1837,678,3263,0.3479,0.3362,0.4252,0.2009,0.2218
ltn.ltn,3375,1837,729,3241,0.3742,0.3689,0.4628,0.2160,0.2413
ltc.ltn,3375,1837,768,3203,0.4130,0.4094,0.4842,0.2276,0.2626
lnc.ltn,3375,1837,774,3183,0.4250,0.4210,0.4881,0.2293,0.2726
bnn.ltn,3375,1837,683,3248,0.3538,0.3426,0.4328,0.2024,0.2274
btc.ltn,3375,1837,747,3208,0.3949,0.3898,0.4723,0.2213,0.2535
btn.ltn,3375,1837,710,3233,0.3664,0.3579,0.4537,0.2104,0.2365
bnc.ltn,3375,1837,773,3187,0.4160,0.4104,0.4866,0.2290,0.2741
atc.ltn,3375,1837,674,3244,0.3597,0.3503,0.4338,0.1997,0.2265
atn.ltn,3375,1837,669,3228,0.3599,0.3512,0.4352,0.1982,0.2297
anc.ltn,3375,1837,711,3229,0.3835,0.3745,0.4561,0.2107,0.2417
ann.ltn,3375,1837,682,3214,0.3684,0.3589,0.4372,0.2021,0.2380
nnn.ltc,3375,1837,468,3346,0.2042,0.1880,0.2850,0.1387,0.1440
nnc.ltc,3375,1837,726,3206,0.3848,0.3736,0.4599,0.2151,0.2521
ntc.ltc,3375,1837,773,3207,0.4080,0.4023,0.4785,0.2290,0.2661
ntn.ltc,3375,1837,678,3267,0.3353,0.3259,0.4274,0.2009,0.2182
lnn.ltc,3375,1837,678,3263,0.3479,0.3362,0.4252,0.2009,0.2218
ltn.ltc,3375,1837,729,3241,0.3742,0.3689,0.4628,0.2160,0.2413
ltc.ltc,3375,1837,768,3203,0.4130,0.4094,0.4842,0.2276,0.2626
lnc.ltc,3375,1837,774,3183,0.4250,0.4210,0.4881,0.2293,0.2726
bnn.ltc,3375,1837,683,3248,0.3538,0.3426,0.4328,0.2024,0.2274
btc.ltc,3375,1837,747,3208,0.3949,0.3898,0.4723,0.2213,0.2535
btn.ltc,3375,1837,710,3233,0.3664,0.3579,0.4537,0.2104,0.2365
bnc.ltc,3375,1837,773,3187,0.4160,0.4104,0.4866,0.2290,0.2741
atc.ltc,3375,1837,674,3244,0.3597,0.3503,0.4338,0.1997,0.2265
atn.ltc,3375,1837,669,3228,0.3599,0.3512,0.4352,0.1982,0.2297
anc.ltc,3375,1837,711,3229,0.3835,0.3745,0.4561,0.2107,0.2417
ann.ltc,3375,1837,682,3214,0.3684,0.3589,0.4372,0.2021,0.2380
nnn.lnc,3375,1837,100,3375,0.0395,0.0338,0.0572,0.0296,0.0296
nnc.lnc,3375,1837,477,3316,0.2498,0.2308,0.3005,0.1413,0.1553
ntc.lnc,3375,1837,705,3252,0.3718,0.3628,0.4322,0.2089,0.2367
ntn.lnc,3375,1837,468,3346,0.2042,0.1880,0.2850,0.1387,0.1440
lnn.lnc,3375,1837,377,3357,0.1674,0.1500,0.2228,0.1117,0.1138
ltn.lnc,3375,1837,678,3263,0.3479,0.3362,0.4252,0.2009,0.2218
ltc.lnc,3375,1837,747,3201,0.3982,0.3886,0.4638,0.2213,0.2556
lnc.lnc,3375,1837,577,3296,0.3067,0.2902,0.3668,0.1710,0.1862
bnn.lnc,3375,1837,464,3330,0.2219,0.2036,0.2830,0.1375,0.1477
btc.lnc,3375,1837,725,3216,0.3868,0.3766,0.4569,0.2148,0.2471
btn.lnc,3375,1837,683,3248,0.3538,0.3426,0.4328,0.2024,0.2274
bnc.lnc,3375,1837,569,3296,0.2929,0.2738,0.3638,0.1686,0.1829
atc.lnc,3375,1837,659,3273,0.3480,0.3338,0.4190,0.1953,0.2141
atn.lnc,3375,1837,682,3214,0.3684,0.3589,0.4372,0.2021,0.2380
anc.lnc,3375,1837,502,3330,0.2590,0.2453,0.3219,0.1487,0.1569
ann.lnc,3375,1837,560,3309,0.2761,0.2624,0.3485,0.1659,0.1798
nnn.bnn,3375,1837,98,3375,0.0401,0.0345,0.0553,0.0290,0.0290
nnc.bnn,3375,1837,487,3316,0.2586,0.2388,0.3075,0.1443,0.1582
ntc.bnn,3375,1837,706,3253,0.3744,0.3661,0.4323,0.2092,0.2358
ntn.bnn,3375,1837,474,3348,0.2075,0.1924,0.2896,0.1404,0.1442
lnn.bnn,3375,1837,375,3355,0.1695,0.1511,0.2226,0.1111,0.1135
ltn.bnn,3375,1837,683,3266,0.3473,0.3359,0.4297,0.2024,0.2229
ltc.bnn,3375,1837,750,3195,0.4002,0.3906,0.4657,0.2222,0.2574
lnc.bnn,3375,1837,582,3295,0.3103,0.2951,0.3721,0.1724,0.1878
bnn.bnn,3375,1837,466,3330,0.2229,0.2043,0.2855,0.1381,0.1483
btc.bnn,3375,1837,726,3216,0.3872,0.3775,0.4569,0.2151,0.2472
btn.bnn,3375,1837,683,3252,0.3536,0.3418,0.4337,0.2024,0.2269
bnc.bnn,3375,1837,574,3296,0.2953,0.2761,0.3655,0.1701,0.1842
atc.bnn,3375,1837,659,3267,0.3492,0.3349,0.4190,0.1953,0.2153
atn.bnn,3375,1837,684,3221,0.3684,0.3591,0.4376,0.2027,0.2368
anc.bnn,3375,1837,505,3332,0.2606,0.2471,0.3251,0.1496,0.1575
ann.bnn,3375,1837,561,3311,0.2754,0.2614,0.3494,0.1662,0.1799
nnn.btc,3375,1837,474,3348,0.2075,0.1924,0.2896,0.1404,0.1442
nnc.btc,3375,1837,724,3200,0.3858,0.3746,0.4586,0.2145,0.2534
ntc.btc,3375,1837,775,3207,0.4085,0.4025,0.4797,0.2296,0.2663
ntn.btc,3375,1837,680,3269,0.3350,0.3254,0.4295,0.2015,0.2184
lnn.btc,3375,1837,683,3266,0.3473,0.3359,0.4297,0.2024,0.2229
ltn.btc,3375,1837,729,3243,0.3738,0.3688,0.4633,0.2160,0.2411
ltc.btc,3375,1837,769,3204,0.4127,0.4094,0.4844,0.2279,0.2617
lnc.btc,3375,1837,772,3181,0.4253,0.4211,0.4867,0.2287,0.2725
bnn.btc,3375,1837,683,3252,0.3536,0.3418,0.4337,0.2024,0.2269
btc.btc,3375,1837,746,3208,0.3960,0.3917,0.4717,0.2210,0.2532
btn.btc,3375,1837,713,3233,0.3662,0.3577,0.4557,0.2113,0.2374
bnc.btc,3375,1837,773,3189,0.4171,0.4120,0.4875,0.2290,0.2727
atc.btc,3375,1837,674,3246,0.3596,0.3504,0.4337,0.1997,0.2254
atn.btc,3375,1837,668,3228,0.3590,0.3503,0.4347,0.1979,0.2294
anc.btc,3375,1837,712,3231,0.3839,0.3751,0.4566,0.2110,0.2405
ann.btc,3375,1837,684,3221,0.3684,0.3591,0.4376,0.2027,0.2368
nnn.btn,3375,1837,474,3348,0.2075,0.1924,0.2896,0.1404,0.1442
nnc.btn,3375,1837,724,3200,0.3858,0.3746,0.4586,0.2145,0.2534
ntc.btn,3375,1837,775,3207,0.4085,0.4025,0.4797,0.2296,0.2663
ntn.btn,3375,1837,680,3269,0.3350,0.3254,0.4295,0.2015,0.2184
lnn.btn,3375,1837,683,3266,0.3473,0.3359,0.4297,0.2024,0.2229
ltn.btn,3375,1837,729,3243,0.3738,0.3688,0.4633,0.2160,0.2411
ltc.btn,3375,1837,769,3204,0.4127,0.4094,0.4844,0.2279,0.2617
lnc.btn,3375,1837,772,3181,0.4253,0.4211,0.4867,0.2287,0.2725
