Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,6750,1837,160,6750,0.0389,0.0341,0.0918,0.0237,0.0237
nnc.nnn,6750,1837,591,6570,0.2362,0.2201,0.3581,0.0876,0.1059
ntc.nnn,6750,1837,867,6341,0.3638,0.3551,0.5096,0.1284,0.1653
ntn.nnn,6750,1837,631,6588,0.1971,0.1808,0.3732,0.0935,0.1029
lnn.nnn,6750,1837,502,6653,0.1638,0.1451,0.2915,0.0744,0.0785
ltn.nnn,6750,1837,860,6285,0.3440,0.3331,0.5218,0.1274,0.1613
ltc.nnn,6750,1837,933,6160,0.3954,0.3854,0.5595,0.1382,0.1873
lnc.nnn,6750,1837,737,6483,0.3010,0.2850,0.4494,0.1092,0.1310
bnn.nnn,6750,1837,611,6599,0.2199,0.2027,0.3603,0.0905,0.1030
btc.nnn,6750,1837,913,6214,0.3831,0.3725,0.5537,0.1353,0.1788
btn.nnn,6750,1837,869,6244,0.3527,0.3416,0.5276,0.1287,0.1692
bnc.nnn,6750,1837,721,6488,0.2870,0.2689,0.4461,0.1068,0.1281
atc.nnn,6750,1837,851,6351,0.3432,0.3297,0.5187,0.1261,0.1564
atn.nnn,6750,1837,882,6227,0.3686,0.3589,0.5389,0.1307,0.1798
anc.nnn,6750,1837,650,6604,0.2514,0.2373,0.4007,0.0963,0.1073
ann.nnn,6750,1837,730,6530,0.2752,0.2609,0.4398,0.1081,0.1248
nnn.nnc,6750,1837,158,6750,0.0386,0.0336,0.0900,0.0234,0.0234
nnc.nnc,6750,1837,591,6570,0.2361,0.2201,0.3581,0.0876,0.1059
ntc.nnc,6750,1837,867,6341,0.3638,0.3551,0.5096,0.1284,0.1653
ntn.nnc,6750,1837,631,6588,0.1971,0.1808,0.3732,0.0935,0.1029
lnn.nnc,6750,1837,502,6654,0.1638,0.1451,0.2915,0.0744,0.0785
ltn.nnc,6750,1837,860,6285,0.3440,0.3331,0.5218,0.1274,0.1613
ltc.nnc,6750,1837,933,6160,0.3954,0.3854,0.5595,0.1382,0.1873
lnc.nnc,6750,1837,737,6483,0.3010,0.2850,0.4494,0.1092,0.1310
bnn.nnc,6750,1837,611,6599,0.2199,0.2027,0.3603,0.0905,0.1030
btc.nnc,6750,1837,913,6214,0.3831,0.3725,0.5537,0.1353,0.1788
btn.nnc,6750,1837,869,6244,0.3527,0.3416,0.5276,0.1287,0.1692
bnc.nnc,6750,1837,721,6488,0.2870,0.2689,0.4461,0.1068,0.1281
atc.nnc,6750,1837,851,6351,0.3432,0.3297,0.5187,0.1261,0.1564
atn.nnc,6750,1837,882,6227,0.3686,0.3589,0.5389,0.1307,0.1798
anc.nnc,6750,1837,650,6604,0.2514,0.2373,0.4007,0.0963,0.1073
ann.nnc,6750,1837,730,6530,0.2751,0.2608,0.4398,0.1081,0.1248
nnn.ntc,6750,1837,631,6588,0.1971,0.1808,0.3732,0.0935,0.1029
nnc.ntc,6750,1837,924,6153,0.3830,0.3726,0.5639,0.1369,0.1890
ntc.ntc,6750,1837,971,6096,0.4079,0.4024,0.5815,0.1439,0.2015
ntn.ntc,6750,1837,877,6295,0.3338,0.3248,0.5327,0.1299,0.1608
lnn.ntc,6750,1837,860,6285,0.3440,0.3331,0.5218,0.1274,0.1613
ltn.ntc,6750,1837,921,6205,0.3742,0.3692,0.5607,0.1364,0.1779
ltc.ntc,6750,1837,973,6071,0.4121,0.4077,0.5900,0.1441,0.2010
lnc.ntc,6750,1837,960,6089,0.4239,0.4194,0.5836,0.1422,0.2039
bnn.ntc,6750,1837,869,6244,0.3527,0.3416,0.5276,0.1287,0.1692
btc.ntc,6750,1837,942,6119,0.3948,0.3892,0.5745,0.1396,0.1916
btn.ntc,6750,1837,897,6192,0.3683,0.3600,0.5499,0.1329,0.1768
bnc.ntc,6750,1837,942,6113,0.4152,0.4093,0.5759,0.1396,0.2008
atc.ntc,6750,1837,872,6245,0.3600,0.3509,0.5347,0.1292,0.1722
atn.ntc,6750,1837,878,6201,0.3594,0.3501,0.5429,0.1301,0.1775
anc.ntc,6750,1837,897,6235,0.3833,0.3742,0.5484,0.1329,0.1794
ann.ntc,6750,1837,882,6227,0.3686,0.3589,0.5389,0.1307,0.1798
nnn.ntn,6750,1837,631,6588,0.1971,0.1808,0.3732,0.0935,0.1029
nnc.ntn,6750,1837,924,6153,0.3830,0.3726,0.5639,0.1369,0.1890
ntc.ntn,6750,1837,971,6096,0.4079,0.4024,0.5815,0.1439,0.2015
ntn.ntn,6750,1837,877,6295,0.3338,0.3248,0.5327,0.1299,0.1608
lnn.ntn,6750,1837,860,6285,0.3440,0.3331,0.5218,0.1274,0.1613
ltn.ntn,6750,1837,921,6205,0.3742,0.3692,0.5607,0.1364,0.1779
ltc.ntn,6750,1837,973,6071,0.4121,0.4077,0.5900,0.1441,0.2010
lnc.ntn,6750,1837,960,6089,0.4239,0.4194,0.5836,0.1422,0.2039
bnn.ntn,6750,1837,869,6244,0.3527,0.3416,0.5276,0.1287,0.1692
btc.ntn,6750,1837,942,6119,0.3948,0.3892,0.5745,0.1396,0.1916
btn.ntn,6750,1837,897,6192,0.3683,0.3600,0.5499,0.1329,0.1768
bnc.ntn,6750,1837,942,6113,0.4152,0.4093,0.5759,0.1396,0.2008
atc.ntn,6750,1837,872,6245,0.3600,0.3509,0.5347,0.1292,0.1722
atn.ntn,6750,1837,878,6201,0.3594,0.3501,0.5429,0.1301,0.1775
anc.ntn,6750,1837,897,6235,0.3833,0.3742,0.5484,0.1329,0.1794
ann.ntn,6750,1837,882,6227,0.3686,0.3589,0.5389,0.1307,0.1798
nnn.lnn,6750,1837,161,6750,0.0397,0.0343,0.0934,0.0239,0.0239
nnc.lnn,6750,1837,617,6567,0.2499,0.2308,0.3777,0.0914,0.1090
