Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,3375,1837,96,3375,0.0389,0.0341,0.0532,0.0284,0.0284
nnc.nnn,3375,1837,451,3313,0.2362,0.2202,0.2831,0.1336,0.1486
ntc.nnn,3375,1837,688,3259,0.3636,0.3549,0.4221,0.2039,0.2284
ntn.nnn,3375,1837,454,3345,0.1972,0.1808,0.2752,0.1345,0.1400
lnn.nnn,3375,1837,373,3361,0.1639,0.1451,0.2208,0.1105,0.1121
ltn.nnn,3375,1837,676,3265,0.3441,0.3333,0.4233,0.2003,0.2211
ltc.nnn,3375,1837,739,3206,0.3960,0.3859,0.4592,0.2190,0.2511
lnc.nnn,3375,1837,568,3297,0.3009,0.2849,0.3605,0.1683,0.1841
bnn.nnn,3375,1837,463,3333,0.2200,0.2027,0.2822,0.1372,0.1461
btc.nnn,3375,1837,721,3227,0.3835,0.3731,0.4520,0.2136,0.2422
btn.nnn,3375,1837,682,3246,0.3529,0.3416,0.4332,0.2021,0.2275
bnc.nnn,3375,1837,561,3296,0.2868,0.2689,0.3577,0.1662,0.1816
atc.nnn,3375,1837,650,3270,0.3438,0.3306,0.4129,0.1926,0.2127
atn.nnn,3375,1837,679,3216,0.3690,0.3593,0.4346,0.2012,0.2365
anc.nnn,3375,1837,497,3326,0.2514,0.2372,0.3219,0.1473,0.1558
ann.nnn,3375,1837,558,3313,0.2753,0.2609,0.3467,0.1653,0.1770
nnn.nnc,3375,1837,98,3375,0.0386,0.0336,0.0547,0.0290,0.0290
nnc.nnc,3375,1837,451,3313,0.2361,0.2202,0.2831,0.1336,0.1486
ntc.nnc,3375,1837,688,3259,0.3636,0.3549,0.4221,0.2039,0.2284
ntn.nnc,3375,1837,454,3345,0.1972,0.1808,0.2752,0.1345,0.1400
lnn.nnc,3375,1837,374,3361,0.1639,0.1451,0.2210,0.1108,0.1124
ltn.nnc,3375,1837,676,3265,0.3441,0.3333,0.4233,0.2003,0.2211
ltc.nnc,3375,1837,739,3206,0.3960,0.3859,0.4592,0.2190,0.2511
lnc.nnc,3375,1837,568,3297,0.3009,0.2849,0.3605,0.1683,0.1841
bnn.nnc,3375,1837,463,3333,0.2200,0.2027,0.2822,0.1372,0.1461
btc.nnc,3375,1837,721,3227,0.3835,0.3731,0.4520,0.2136,0.2422
btn.nnc,3375,1837,682,3246,0.3529,0.3416,0.4332,0.2021,0.2275
bnc.nnc,3375,1837,561,3296,0.2868,0.2689,0.3577,0.1662,0.1816
atc.nnc,3375,1837,650,3270,0.3438,0.3306,0.4129,0.1926,0.2127
atn.nnc,3375,1837,679,3216,0.3690,0.3593,0.4346,0.2012,0.2365
anc.nnc,3375,1837,497,3326,0.2514,0.2372,0.3219,0.1473,0.1558
ann.nnc,3375,1837,558,3313,0.2752,0.2608,0.3467,0.1653,0.1770
nnn.ntc,3375,1837,454,3345,0.1972,0.1808,0.2752,0.1345,0.1400
nnc.ntc,3375,1837,726,3211,0.3833,0.3728,0.4616,0.2151,0.2502
ntc.ntc,3375,1837,770,3208,0.4080,0.4023,0.4781,0.2281,0.2647
ntn.ntc,3375,1837,680,3264,0.3340,0.3250,0.4291,0.2015,0.2192
lnn.ntc,3375,1837,676,3265,0.3441,0.3333,0.4233,0.2003,0.2211
ltn.ntc,3375,1837,730,3242,0.3742,0.3691,0.4636,0.2163,0.2412
ltc.ntc,3375,1837,768,3204,0.4121,0.4075,0.4855,0.2276,0.2622
lnc.ntc,3375,1837,770,3188,0.4240,0.4197,0.4853,0.2281,0.2707
bnn.ntc,3375,1837,682,3246,0.3529,0.3416,0.4332,0.2021,0.2275
btc.ntc,3375,1837,747,3207,0.3950,0.3894,0.4724,0.2213,0.2547
btn.ntc,3375,1837,714,3231,0.3683,0.3600,0.4557,0.2116,0.2384
bnc.ntc,3375,1837,768,3188,0.4153,0.4093,0.4833,0.2276,0.2714
atc.ntc,3375,1837,676,3243,0.3597,0.3506,0.4346,0.2003,0.2280
