Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,3375,1837,114,3375,0.0454,0.0405,0.0693,0.0338,0.0338
nnc.nnn,3375,1837,508,3307,0.2695,0.2547,0.3258,0.1505,0.1671
ntc.nnn,3375,1837,739,3234,0.3967,0.3877,0.4542,0.2190,0.2489
ntn.nnn,3375,1837,473,3348,0.2077,0.1941,0.2974,0.1401,0.1453
lnn.nnn,3375,1837,377,3348,0.1695,0.1510,0.2300,0.1117,0.1164
ltn.nnn,3375,1837,694,3258,0.3591,0.3519,0.4368,0.2056,0.2302
ltc.nnn,3375,1837,777,3187,0.4167,0.4103,0.4883,0.2302,0.2699
lnc.nnn,3375,1837,625,3274,0.3299,0.3130,0.4065,0.1852,0.2097
bnn.nnn,3375,1837,459,3330,0.2197,0.2039,0.2833,0.1360,0.1472
btc.nnn,3375,1837,752,3199,0.3994,0.3919,0.4782,0.2228,0.2607
btn.nnn,3375,1837,691,3249,0.3686,0.3632,0.4383,0.2047,0.2311
bnc.nnn,3375,1837,597,3273,0.3173,0.2994,0.3873,0.1769,0.2000
atc.nnn,3375,1837,680,3232,0.3620,0.3532,0.4375,0.2015,0.2313
atn.nnn,3375,1837,696,3213,0.3879,0.3776,0.4429,0.2062,0.2458
anc.nnn,3375,1837,543,3300,0.2752,0.2592,0.3496,0.1609,0.1772
ann.nnn,3375,1837,562,3293,0.2856,0.2709,0.3557,0.1665,0.1865
nnn.nnc,3375,1837,113,3375,0.0456,0.0405,0.0680,0.0335,0.0335
nnc.nnc,3375,1837,508,3307,0.2695,0.2547,0.3258,0.1505,0.1671
ntc.nnc,3375,1837,739,3234,0.3967,0.3877,0.4542,0.2190,0.2489
ntn.nnc,3375,1837,473,3348,0.2077,0.1941,0.2974,0.1401,0.1453
lnn.nnc,3375,1837,377,3348,0.1695,0.1510,0.2300,0.1117,0.1164
ltn.nnc,3375,1837,694,3258,0.3591,0.3519,0.4368,0.2056,0.2302
ltc.nnc,3375,1837,777,3187,0.4167,0.4103,0.4883,0.2302,0.2699
lnc.nnc,3375,1837,625,3274,0.3299,0.3130,0.4065,0.1852,0.2097
bnn.nnc,3375,1837,459,3330,0.2197,0.2039,0.2833,0.1360,0.1472
btc.nnc,3375,1837,752,3199,0.3994,0.3919,0.4782,0.2228,0.2607
btn.nnc,3375,1837,691,3249,0.3686,0.3632,0.4383,0.2047,0.2311
bnc.nnc,3375,1837,597,3273,0.3173,0.2994,0.3873,0.1769,0.2000
atc.nnc,3375,1837,680,3232,0.3620,0.3532,0.4375,0.2015,0.2313
atn.nnc,3375,1837,696,3213,0.3879,0.3776,0.4429,0.2062,0.2458
anc.nnc,3375,1837,543,3300,0.2752,0.2592,0.3496,0.1609,0.1772
ann.nnc,3375,1837,562,3294,0.2855,0.2708,0.3557,0.1665,0.1864
nnn.ntc,3375,1837,473,3348,0.2077,0.1941,0.2974,0.1401,0.1453
nnc.ntc,3375,1837,758,3199,0.4062,0.3979,0.4813,0.2246,0.2650
ntc.ntc,3375,1837,819,3190,0.4317,0.4277,0.5101,0.2427,0.2850
ntn.ntc,3375,1837,686,3263,0.3471,0.3408,0.4378,0.2033,0.2248
lnn.ntc,3375,1837,694,3258,0.3591,0.3519,0.4368,0.2056,0.2302
ltn.ntc,3375,1837,747,3241,0.3971,0.3930,0.4745,0.2213,0.2503
ltc.ntc,3375,1837,816,3161,0.4366,0.4308,0.5169,0.2418,0.2879
lnc.ntc,3375,1837,816,3162,0.4474,0.4443,0.5134,0.2418,0.2920
bnn.ntc,3375,1837,691,3249,0.3686,0.3632,0.4383,0.2047,0.2311
btc.ntc,3375,1837,791,3176,0.4202,0.4149,0.5019,0.2344,0.2768
btn.ntc,3375,1837,729,3231,0.3937,0.3902,0.4641,0.2160,0.2455
bnc.ntc,3375,1837,795,3164,0.4352,0.4313,0.5048,0.2356,0.2842
atc.ntc,3375,1837,708,3202,0.3846,0.3766,0.4582,0.2098,0.2462
atn.ntc,3375,1837,702,3203,0.3831,0.3728,0.4548,0.2080,0.2484
anc.ntc,3375,1837,733,3188,0.4029,0.3954,0.4721,0.2172,0.2583
ann.ntc,3375,1837,696,3213,0.3879,0.3776,0.4429,0.2062,0.2458
nnn.ntn,3375,1837,473,3348,0.2077,0.1941,0.2974,0.1401,0.1453
nnc.ntn,3375,1837,758,3199,0.4062,0.3979,0.4813,0.2246,0.2650
ntc.ntn,3375,1837,819,3190,0.4317,0.4277,0.5101,0.2427,0.2850
ntn.ntn,3375,1837,686,3263,0.3471,0.3408,0.4378,0.2033,0.2248
