Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,3375,1837,115,3375,0.0455,0.0405,0.0697,0.0341,0.0341
nnc.nnn,3375,1837,509,3307,0.2693,0.2550,0.3263,0.1508,0.1674
ntc.nnn,3375,1837,739,3233,0.3965,0.3879,0.4543,0.2190,0.2490
ntn.nnn,3375,1837,472,3348,0.2075,0.1940,0.2967,0.1399,0.1450
lnn.nnn,3375,1837,378,3350,0.1692,0.1509,0.2303,0.1120,0.1165
ltn.nnn,3375,1837,694,3258,0.3589,0.3518,0.4368,0.2056,0.2302
ltc.nnn,3375,1837,777,3187,0.4171,0.4107,0.4884,0.2302,0.2699
lnc.nnn,3375,1837,625,3274,0.3298,0.3127,0.4065,0.1852,0.2097
bnn.nnn,3375,1837,459,3330,0.2197,0.2038,0.2833,0.1360,0.1472
btc.nnn,3375,1837,752,3198,0.3992,0.3916,0.4782,0.2228,0.2610
btn.nnn,3375,1837,691,3250,0.3685,0.3628,0.4377,0.2047,0.2309
bnc.nnn,3375,1837,597,3273,0.3173,0.2995,0.3873,0.1769,0.2000
atc.nnn,3375,1837,674,3233,0.3624,0.3535,0.4339,0.1997,0.2294
atn.nnn,3375,1837,697,3213,0.3880,0.3774,0.4432,0.2065,0.2461
anc.nnn,3375,1837,543,3300,0.2752,0.2592,0.3496,0.1609,0.1772
ann.nnn,3375,1837,562,3293,0.2855,0.2706,0.3557,0.1665,0.1865
nnn.nnc,3375,1837,113,3375,0.0456,0.0405,0.0680,0.0335,0.0335
nnc.nnc,3375,1837,509,3307,0.2693,0.2550,0.3263,0.1508,0.1674
ntc.nnc,3375,1837,739,3233,0.3965,0.3879,0.4543,0.2190,0.2490
ntn.nnc,3375,1837,472,3348,0.2075,0.1940,0.2967,0.1399,0.1450
lnn.nnc,3375,1837,378,3350,0.1692,0.1509,0.2303,0.1120,0.1165
ltn.nnc,3375,1837,694,3258,0.3589,0.3518,0.4368,0.2056,0.2302
ltc.nnc,3375,1837,777,3187,0.4171,0.4107,0.4884,0.2302,0.2699
