Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,6750,1837,182,6750,0.0455,0.0405,0.1057,0.0270,0.0270
nnc.nnn,6750,1837,670,6514,0.2693,0.2550,0.4132,0.0993,0.1205
ntc.nnn,6750,1837,939,6256,0.3965,0.3879,0.5571,0.1391,0.1826
ntn.nnn,6750,1837,662,6587,0.2075,0.1940,0.4018,0.0981,0.1070
lnn.nnn,6750,1837,522,6648,0.1692,0.1509,0.3090,0.0773,0.0840
ltn.nnn,6750,1837,868,6322,0.3589,0.3518,0.5260,0.1286,0.1650
ltc.nnn,6750,1837,988,6083,0.4171,0.4107,0.5980,0.1464,0.2055
lnc.nnn,6750,1837,817,6376,0.3298,0.3127,0.5061,0.1210,0.1536
bnn.nnn,6750,1837,622,6592,0.2197,0.2038,0.3721,0.0921,0.1070
btc.nnn,6750,1837,954,6130,0.3992,0.3916,0.5835,0.1413,0.1969
btn.nnn,6750,1837,889,6280,0.3685,0.3628,0.5398,0.1317,0.1716
bnc.nnn,6750,1837,783,6405,0.3173,0.2995,0.4905,0.1160,0.1462
atc.nnn,6750,1837,885,6264,0.3624,0.3535,0.5435,0.1311,0.1728
atn.nnn,6750,1837,882,6202,0.3880,0.3774,0.5444,0.1307,0.1849
anc.nnn,6750,1837,690,6497,0.2752,0.2592,0.4347,0.1022,0.1236
ann.nnn,6750,1837,735,6502,0.2855,0.2706,0.4476,0.1089,0.1341
nnn.nnc,6750,1837,183,6750,0.0456,0.0405,0.1060,0.0271,0.0271
nnc.nnc,6750,1837,670,6514,0.2693,0.2550,0.4132,0.0993,0.1205
ntc.nnc,6750,1837,939,6256,0.3965,0.3879,0.5571,0.1391,0.1826
ntn.nnc,6750,1837,662,6587,0.2075,0.1940,0.4018,0.0981,0.1070
lnn.nnc,6750,1837,522,6648,0.1692,0.1509,0.3090,0.0773,0.0840
ltn.nnc,6750,1837,868,6322,0.3589,0.3518,0.5260,0.1286,0.1650
ltc.nnc,6750,1837,988,6083,0.4171,0.4107,0.5980,0.1464,0.2055
lnc.nnc,6750,1837,817,6376,0.3298,0.3127,0.5061,0.1210,0.1536
bnn.nnc,6750,1837,622,6592,0.2197,0.2038,0.3721,0.0921,0.1070
btc.nnc,6750,1837,954,6130,0.3992,0.3916,0.5835,0.1413,0.1969
btn.nnc,6750,1837,889,6280,0.3685,0.3628,0.5398,0.1317,0.1716
bnc.nnc,6750,1837,783,6405,0.3173,0.2995,0.4905,0.1160,0.1462
atc.nnc,6750,1837,885,6264,0.3624,0.3535,0.5435,0.1311,0.1728
atn.nnc,6750,1837,882,6202,0.3880,0.3774,0.5444,0.1307,0.1849
anc.nnc,6750,1837,690,6497,0.2752,0.2592,0.4347,0.1022,0.1236
ann.nnc,6750,1837,735,6503,0.2854,0.2705,0.4472,0.1089,0.1340
nnn.ntc,6750,1837,662,6587,0.2075,0.1940,0.4018,0.0981,0.1070
nnc.ntc,6750,1837,988,6083,0.4062,0.3979,0.6047,0.1464,0.2055
ntc.ntc,6750,1837,1039,6044,0.4318,0.4278,0.6227,0.1539,0.2179
ntn.ntc,6750,1837,888,6346,0.3465,0.3405,0.5370,0.1316,0.1636
lnn.ntc,6750,1837,868,6322,0.3589,0.3518,0.5260,0.1286,0.1650
ltn.ntc,6750,1837,958,6184,0.3970,0.3930,0.5751,0.1419,0.1882
ltc.ntc,6750,1837,1016,5967,0.4365,0.4310,0.6144,0.1505,0.2204
lnc.ntc,6750,1837,1025,6014,0.4472,0.4441,0.6224,0.1519,0.2226
bnn.ntc,6750,1837,889,6280,0.3685,0.3628,0.5398,0.1317,0.1716
btc.ntc,6750,1837,997,6013,0.4196,0.4146,0.6061,0.1477,0.2117
btn.ntc,6750,1837,931,6164,0.3936,0.3902,0.5651,0.1379,0.1859
bnc.ntc,6750,1837,1002,6026,0.4353,0.4314,0.6119,0.1484,0.2174
atc.ntc,6750,1837,906,6126,0.3845,0.3765,0.5556,0.1342,0.1880
atn.ntc,6750,1837,889,6115,0.3826,0.3724,0.5474,0.1317,0.1897
anc.ntc,6750,1837,930,6143,0.4032,0.3955,0.5685,0.1378,0.1940
ann.ntc,6750,1837,882,6202,0.3880,0.3774,0.5444,0.1307,0.1849
nnn.ntn,6750,1837,662,6587,0.2075,0.1940,0.4018,0.0981,0.1070
nnc.ntn,6750,1837,988,6083,0.4062,0.3979,0.6047,0.1464,0.2055
ntc.ntn,6750,1837,1039,6044,0.4318,0.4278,0.6227,0.1539,0.2179
ntn.ntn,6750,1837,888,6346,0.3465,0.3405,0.5370,0.1316,0.1636
lnn.ntn,6750,1837,868,6322,0.3589,0.3518,0.5260,0.1286,0.1650
ltn.ntn,6750,1837,958,6184,0.3970,0.3930,0.5751,0.1419,0.1882
ltc.ntn,6750,1837,1016,5967,0.4365,0.4310,0.6144,0.1505,0.2204
lnc.ntn,6750,1837,1025,6014,0.4472,0.4441,0.6224,0.1519,0.2226
bnn.ntn,6750,1837,889,6280,0.3685,0.3628,0.5398,0.1317,0.1716
btc.ntn,6750,1837,997,6013,0.4196,0.4146,0.6061,0.1477,0.2117
btn.ntn,6750,1837,931,6164,0.3936,0.3902,0.5651,0.1379,0.1859
bnc.ntn,6750,1837,1002,6026,0.4353,0.4314,0.6119,0.1484,0.2174
atc.ntn,6750,1837,906,6126,0.3845,0.3765,0.5556,0.1342,0.1880
atn.ntn,6750,1837,889,6115,0.3826,0.3724,0.5474,0.1317,0.1897
anc.ntn,6750,1837,930,6143,0.4032,0.3955,0.5685,0.1378,0.1940
ann.ntn,6750,1837,882,6202,0.3880,0.3774,0.5444,0.1307,0.1849
nnn.lnn,6750,1837,186,6750,0.0466,0.0409,0.1083,0.0276,0.0276
nnc.lnn,6750,1837,701,6494,0.2855,0.2700,0.4361,0.1039,0.1263
ntc.lnn,6750,1837,958,6250,0.4027,0.3944,0.5671,0.1419,0.1848
ntn.lnn,6750,1837,675,6584,0.2156,0.2022,0.4113,0.1000,0.1091
lnn.lnn,6750,1837,530,6652,0.1724,0.1549,0.3139,0.0785,0.0854
ltn.lnn,6750,1837,874,6324,0.3609,0.3551,0.5293,0.1295,0.1654
ltc.lnn,6750,1837,994,6072,0.4201,0.4131,0.5991,0.1473,0.2073
lnc.lnn,6750,1837,823,6352,0.3369,0.3207,0.5130,0.1219,0.1546
bnn.lnn,6750,1837,620,6597,0.2214,0.2052,0.3715,0.0919,0.1066
btc.lnn,6750,1837,962,6120,0.4013,0.3949,0.5872,0.1425,0.2003
btn.lnn,6750,1837,889,6271,0.3682,0.3625,0.5403,0.1317,0.1724
bnc.lnn,6750,1837,794,6377,0.3218,0.3051,0.4964,0.1176,0.1478
atc.lnn,6750,1837,890,6251,0.3661,0.3575,0.5483,0.1319,0.1757
atn.lnn,6750,1837,878,6200,0.3882,0.3777,0.5426,0.1301,0.1832
anc.lnn,6750,1837,699,6481,0.2798,0.2660,0.4432,0.1036,0.1228
ann.lnn,6750,1837,731,6513,0.2862,0.2718,0.4472,0.1083,0.1333
nnn.ltn,6750,1837,675,6584,0.2156,0.2022,0.4113,0.1000,0.1091
nnc.ltn,6750,1837,992,6094,0.4086,0.4006,0.6058,0.1470,0.2058
ntc.ltn,6750,1837,1039,6041,0.4331,0.4292,0.6225,0.1539,0.2179
ntn.ltn,6750,1837,894,6348,0.3491,0.3439,0.5423,0.1324,0.1648
lnn.ltn,6750,1837,874,6324,0.3609,0.3551,0.5293,0.1295,0.1654
