Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,450,696,34,450,0.0709,0.0589,0.0470,0.0756,0.0756
nnc.nnn,450,696,128,450,0.2223,0.1758,0.1907,0.2844,0.2844
ntc.nnn,450,696,233,450,0.4614,0.4620,0.3725,0.5178,0.5178
ntn.nnn,450,696,155,450,0.2987,0.2732,0.2410,0.3444,0.3444
lnn.nnn,450,696,133,450,0.2247,0.1814,0.1988,0.2956,0.2956
ltn.nnn,450,696,230,450,0.4637,0.4607,0.3728,0.5111,0.5111
ltc.nnn,450,696,245,450,0.5029,0.5063,0.3938,0.5444,0.5444
lnc.nnn,450,696,175,450,0.3299,0.3044,0.2676,0.3889,0.3889
bnn.nnn,450,696,170,450,0.3155,0.2921,0.2615,0.3778,0.3778
btc.nnn,450,696,246,450,0.4970,0.5025,0.3938,0.5467,0.5467
btn.nnn,450,696,234,450,0.4745,0.4761,0.3771,0.5200,0.5200
bnc.nnn,450,696,175,450,0.3314,0.3101,0.2672,0.3889,0.3889
atc.nnn,450,696,240,450,0.4726,0.4759,0.3830,0.5333,0.5333
atn.nnn,450,696,238,450,0.4714,0.4718,0.3832,0.5289,0.5289
anc.nnn,450,696,161,450,0.3125,0.2907,0.2440,0.3578,0.3578
ann.nnn,450,696,201,450,0.3684,0.3379,0.3168,0.4467,0.4467
nnn.nnc,450,696,34,450,0.0711,0.0589,0.0470,0.0756,0.0756
nnc.nnc,450,696,128,450,0.2223,0.1758,0.1907,0.2844,0.2844
ntc.nnc,450,696,233,450,0.4614,0.4620,0.3725,0.5178,0.5178
ntn.nnc,450,696,155,450,0.2987,0.2732,0.2410,0.3444,0.3444
lnn.nnc,450,696,133,450,0.2247,0.1814,0.1988,0.2956,0.2956
ltn.nnc,450,696,230,450,0.4637,0.4607,0.3728,0.5111,0.5111
ltc.nnc,450,696,245,450,0.5029,0.5063,0.3938,0.5444,0.5444
lnc.nnc,450,696,175,450,0.3299,0.3044,0.2676,0.3889,0.3889
bnn.nnc,450,696,170,450,0.3155,0.2921,0.2615,0.3778,0.3778
btc.nnc,450,696,246,450,0.4970,0.5025,0.3938,0.5467,0.5467
btn.nnc,450,696,234,450,0.4745,0.4761,0.3771,0.5200,0.5200
bnc.nnc,450,696,175,450,0.3314,0.3101,0.2672,0.3889,0.3889
atc.nnc,450,696,240,450,0.4726,0.4759,0.3830,0.5333,0.5333
atn.nnc,450,696,238,450,0.4714,0.4718,0.3832,0.5289,0.5289
anc.nnc,450,696,161,450,0.3125,0.2907,0.2440,0.3578,0.3578
ann.nnc,450,696,202,450,0.3682,0.3372,0.3191,0.4489,0.4489
nnn.ntc,450,696,155,450,0.2987,0.2732,0.2410,0.3444,0.3444
nnc.ntc,450,696,241,450,0.4899,0.4927,0.3777,0.5356,0.5356
ntc.ntc,450,696,245,450,0.5096,0.5228,0.3911,0.5444,0.5444
ntn.ntc,450,696,237,450,0.4692,0.4714,0.3803,0.5267,0.5267
lnn.ntc,450,696,230,450,0.4637,0.4607,0.3728,0.5111,0.5111
ltn.ntc,450,696,234,450,0.4962,0.4873,0.3789,0.5200,0.5200
ltc.ntc,450,696,248,450,0.5133,0.5220,0.4027,0.5511,0.5511
lnc.ntc,450,696,249,450,0.5205,0.5143,0.3965,0.5533,0.5533
bnn.ntc,450,696,234,450,0.4745,0.4761,0.3771,0.5200,0.5200
btc.ntc,450,696,245,450,0.5074,0.5137,0.4015,0.5444,0.5444
btn.ntc,450,696,233,450,0.4974,0.4922,0.3807,0.5178,0.5178
bnc.ntc,450,696,247,450,0.5154,0.5102,0.3957,0.5489,0.5489
atc.ntc,450,696,232,450,0.4812,0.4879,0.3773,0.5156,0.5156
atn.ntc,450,696,237,450,0.4760,0.4777,0.3834,0.5267,0.5267
anc.ntc,450,696,243,450,0.4889,0.4914,0.3877,0.5400,0.5400
ann.ntc,450,696,238,450,0.4714,0.4718,0.3832,0.5289,0.5289
nnn.ntn,450,696,155,450,0.2987,0.2732,0.2410,0.3444,0.3444
nnc.ntn,450,696,241,450,0.4899,0.4927,0.3777,0.5356,0.5356
ntc.ntn,450,696,245,450,0.5096,0.5228,0.3911,0.5444,0.5444
ntn.ntn,450,696,237,450,0.4692,0.4714,0.3803,0.5267,0.5267
lnn.ntn,450,696,230,450,0.4637,0.4607,0.3728,0.5111,0.5111
ltn.ntn,450,696,234,450,0.4962,0.4873,0.3789,0.5200,0.5200
ltc.ntn,450,696,248,450,0.5133,0.5220,0.4027,0.5511,0.5511
lnc.ntn,450,696,249,450,0.5205,0.5143,0.3965,0.5533,0.5533
bnn.ntn,450,696,234,450,0.4745,0.4761,0.3771,0.5200,0.5200
btc.ntn,450,696,245,450,0.5074,0.5137,0.4015,0.5444,0.5444
btn.ntn,450,696,233,450,0.4974,0.4922,0.3807,0.5178,0.5178
bnc.ntn,450,696,247,450,0.5154,0.5102,0.3957,0.5489,0.5489
atc.ntn,450,696,232,450,0.4812,0.4879,0.3773,0.5156,0.5156
atn.ntn,450,696,237,450,0.4760,0.4777,0.3834,0.5267,0.5267
anc.ntn,450,696,243,450,0.4889,0.4914,0.3877,0.5400,0.5400
ann.ntn,450,696,238,450,0.4714,0.4718,0.3832,0.5289,0.5289
nnn.lnn,450,696,36,450,0.0723,0.0600,0.0493,0.0800,0.0800
nnc.lnn,450,696,133,450,0.2504,0.1992,0.2033,0.2956,0.2956
ntc.lnn,450,696,244,450,0.4771,0.4773,0.3869,0.5422,0.5422
ntn.lnn,450,696,164,450,0.3169,0.2890,0.2541,0.3644,0.3644
lnn.lnn,450,696,133,450,0.2304,0.1871,0.1975,0.2956,0.2956
ltn.lnn,450,696,231,450,0.4702,0.4676,0.3732,0.5133,0.5133
ltc.lnn,450,696,251,450,0.5120,0.5142,0.4026,0.5578,0.5578
lnc.lnn,450,696,189,450,0.3524,0.3209,0.2895,0.4200,0.4200
bnn.lnn,450,696,172,450,0.3181,0.2938,0.2645,0.3822,0.3822
btc.lnn,450,696,251,450,0.5055,0.5084,0.4020,0.5578,0.5578
btn.lnn,450,696,238,450,0.4787,0.4772,0.3814,0.5289,0.5289
bnc.lnn,450,696,185,450,0.3544,0.3270,0.2851,0.4111,0.4111
atc.lnn,450,696,248,450,0.4832,0.4849,0.3936,0.5511,0.5511
atn.lnn,450,696,240,450,0.4810,0.4824,0.3840,0.5333,0.5333
anc.lnn,450,696,175,450,0.3288,0.3067,0.2682,0.3889,0.3889
ann.lnn,450,696,203,450,0.3736,0.3449,0.3197,0.4511,0.4511
nnn.ltn,450,696,164,450,0.3169,0.2890,0.2541,0.3644,0.3644
nnc.ltn,450,696,247,450,0.4966,0.5024,0.3835,0.5489,0.5489
ntc.ltn,450,696,247,450,0.5141,0.5272,0.3935,0.5489,0.5489
ntn.ltn,450,696,236,450,0.4759,0.4761,0.3779,0.5244,0.5244
lnn.ltn,450,696,231,450,0.4702,0.4676,0.3732,0.5133,0.5133
ltn.ltn,450,696,237,450,0.5011,0.4949,0.3822,0.5267,0.5267
ltc.ltn,450,696,251,450,0.5186,0.5291,0.4052,0.5578,0.5578
lnc.ltn,450,696,255,450,0.5275,0.5254,0.4055,0.5667,0.5667
bnn.ltn,450,696,238,450,0.4787,0.4772,0.3814,0.5289,0.5289
btc.ltn,450,696,248,450,0.5129,0.5187,0.4021,0.5511,0.5511
btn.ltn,450,696,235,450,0.5010,0.4944,0.3824,0.5222,0.5222
bnc.ltn,450,696,251,450,0.5225,0.5168,0.4014,0.5578,0.5578
