Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,900,696,61,900,0.0709,0.0589,0.0837,0.0678,0.0678
nnc.nnn,900,696,169,900,0.2223,0.1758,0.2498,0.1878,0.1878
ntc.nnn,900,696,336,900,0.4614,0.4620,0.5138,0.3733,0.3733
ntn.nnn,900,696,238,900,0.2987,0.2732,0.3651,0.2644,0.2644
lnn.nnn,900,696,178,900,0.2247,0.1814,0.2595,0.1978,0.1978
ltn.nnn,900,696,327,900,0.4637,0.4607,0.5120,0.3633,0.3633
ltc.nnn,900,696,365,900,0.5029,0.5063,0.5600,0.4056,0.4056
lnc.nnn,900,696,256,900,0.3299,0.3044,0.3846,0.2844,0.2844
bnn.nnn,900,696,242,900,0.3155,0.2921,0.3627,0.2689,0.2689
btc.nnn,900,696,361,900,0.4970,0.5025,0.5566,0.4011,0.4011
btn.nnn,900,696,343,900,0.4745,0.4761,0.5312,0.3811,0.3811
bnc.nnn,900,696,256,900,0.3314,0.3101,0.3850,0.2844,0.2844
atc.nnn,900,696,348,900,0.4726,0.4759,0.5407,0.3867,0.3867
atn.nnn,900,696,345,900,0.4714,0.4718,0.5399,0.3833,0.3833
anc.nnn,900,696,243,900,0.3125,0.2907,0.3626,0.2700,0.2700
ann.nnn,900,696,289,900,0.3684,0.3379,0.4383,0.3211,0.3211
nnn.nnc,900,696,59,900,0.0711,0.0589,0.0805,0.0656,0.0656
nnc.nnc,900,696,169,900,0.2223,0.1758,0.2498,0.1878,0.1878
ntc.nnc,900,696,336,900,0.4614,0.4620,0.5138,0.3733,0.3733
ntn.nnc,900,696,238,900,0.2987,0.2732,0.3651,0.2644,0.2644
lnn.nnc,900,696,178,900,0.2247,0.1814,0.2595,0.1978,0.1978
ltn.nnc,900,696,327,900,0.4637,0.4607,0.5120,0.3633,0.3633
ltc.nnc,900,696,365,900,0.5029,0.5063,0.5600,0.4056,0.4056
lnc.nnc,900,696,256,900,0.3299,0.3044,0.3846,0.2844,0.2844
bnn.nnc,900,696,242,900,0.3155,0.2921,0.3627,0.2689,0.2689
btc.nnc,900,696,361,900,0.4970,0.5025,0.5566,0.4011,0.4011
btn.nnc,900,696,343,900,0.4745,0.4761,0.5312,0.3811,0.3811
bnc.nnc,900,696,256,900,0.3314,0.3101,0.3850,0.2844,0.2844
atc.nnc,900,696,348,900,0.4726,0.4759,0.5407,0.3867,0.3867
atn.nnc,900,696,345,900,0.4714,0.4718,0.5399,0.3833,0.3833
anc.nnc,900,696,243,900,0.3125,0.2907,0.3626,0.2700,0.2700
ann.nnc,900,696,288,900,0.3682,0.3372,0.4374,0.3200,0.3200
nnn.ntc,900,696,238,900,0.2987,0.2732,0.3651,0.2644,0.2644
nnc.ntc,900,696,362,900,0.4899,0.4927,0.5508,0.4022,0.4022
ntc.ntc,900,696,378,900,0.5096,0.5228,0.5846,0.4200,0.4200
ntn.ntc,900,696,346,900,0.4692,0.4714,0.5374,0.3844,0.3844
lnn.ntc,900,696,327,900,0.4637,0.4607,0.5120,0.3633,0.3633
ltn.ntc,900,696,364,900,0.4962,0.4873,0.5683,0.4044,0.4044
ltc.ntc,900,696,378,900,0.5133,0.5220,0.5891,0.4200,0.4200
lnc.ntc,900,696,371,900,0.5205,0.5143,0.5708,0.4122,0.4122
bnn.ntc,900,696,343,900,0.4745,0.4761,0.5312,0.3811,0.3811
btc.ntc,900,696,371,900,0.5074,0.5137,0.5764,0.4122,0.4122
btn.ntc,900,696,361,900,0.4974,0.4922,0.5647,0.4011,0.4011
bnc.ntc,900,696,375,900,0.5154,0.5102,0.5773,0.4167,0.4167
atc.ntc,900,696,365,900,0.4812,0.4879,0.5690,0.4056,0.4056
atn.ntc,900,696,351,900,0.4760,0.4777,0.5557,0.3900,0.3900
anc.ntc,900,696,359,900,0.4889,0.4914,0.5538,0.3989,0.3989
ann.ntc,900,696,345,900,0.4714,0.4718,0.5399,0.3833,0.3833
nnn.ntn,900,696,238,900,0.2987,0.2732,0.3651,0.2644,0.2644
nnc.ntn,900,696,362,900,0.4899,0.4927,0.5508,0.4022,0.4022
ntc.ntn,900,696,378,900,0.5096,0.5228,0.5846,0.4200,0.4200
ntn.ntn,900,696,346,900,0.4692,0.4714,0.5374,0.3844,0.3844
lnn.ntn,900,696,327,900,0.4637,0.4607,0.5120,0.3633,0.3633
ltn.ntn,900,696,364,900,0.4962,0.4873,0.5683,0.4044,0.4044
ltc.ntn,900,696,378,900,0.5133,0.5220,0.5891,0.4200,0.4200
lnc.ntn,900,696,371,900,0.5205,0.5143,0.5708,0.4122,0.4122
bnn.ntn,900,696,343,900,0.4745,0.4761,0.5312,0.3811,0.3811
btc.ntn,900,696,371,900,0.5074,0.5137,0.5764,0.4122,0.4122
btn.ntn,900,696,361,900,0.4974,0.4922,0.5647,0.4011,0.4011
bnc.ntn,900,696,375,900,0.5154,0.5102,0.5773,0.4167,0.4167
atc.ntn,900,696,365,900,0.4812,0.4879,0.5690,0.4056,0.4056
atn.ntn,900,696,351,900,0.4760,0.4777,0.5557,0.3900,0.3900
anc.ntn,900,696,359,900,0.4889,0.4914,0.5538,0.3989,0.3989
ann.ntn,900,696,345,900,0.4714,0.4718,0.5399,0.3833,0.3833
nnn.lnn,900,696,60,900,0.0723,0.0600,0.0822,0.0667,0.0667
nnc.lnn,900,696,186,900,0.2504,0.1992,0.2750,0.2067,0.2067
ntc.lnn,900,696,344,900,0.4771,0.4773,0.5242,0.3822,0.3822
ntn.lnn,900,696,251,900,0.3169,0.2890,0.3855,0.2789,0.2789
lnn.lnn,900,696,185,900,0.2304,0.1871,0.2728,0.2056,0.2056
ltn.lnn,900,696,334,900,0.4702,0.4676,0.5201,0.3711,0.3711
ltc.lnn,900,696,371,900,0.5120,0.5142,0.5678,0.4122,0.4122
lnc.lnn,900,696,266,900,0.3524,0.3209,0.4009,0.2956,0.2956
bnn.lnn,900,696,249,900,0.3181,0.2938,0.3752,0.2767,0.2767
btc.lnn,900,696,365,900,0.5055,0.5084,0.5600,0.4056,0.4056
btn.lnn,900,696,349,900,0.4787,0.4772,0.5377,0.3878,0.3878
bnc.lnn,900,696,275,900,0.3544,0.3270,0.4129,0.3056,0.3056
atc.lnn,900,696,352,900,0.4832,0.4849,0.5465,0.3911,0.3911
atn.lnn,900,696,350,900,0.4810,0.4824,0.5450,0.3889,0.3889
anc.lnn,900,696,259,900,0.3288,0.3067,0.3878,0.2878,0.2878
ann.lnn,900,696,293,900,0.3736,0.3449,0.4445,0.3256,0.3256
nnn.ltn,900,696,251,900,0.3169,0.2890,0.3855,0.2789,0.2789
nnc.ltn,900,696,368,900,0.4966,0.5024,0.5577,0.4089,0.4089
ntc.ltn,900,696,382,900,0.5141,0.5272,0.5889,0.4244,0.4244
ntn.ltn,900,696,353,900,0.4759,0.4761,0.5482,0.3922,0.3922
lnn.ltn,900,696,334,900,0.4702,0.4676,0.5201,0.3711,0.3711
ltn.ltn,900,696,371,900,0.5011,0.4949,0.5745,0.4122,0.4122
ltc.ltn,900,696,386,900,0.5186,0.5291,0.5955,0.4289,0.4289
lnc.ltn,900,696,375,900,0.5275,0.5254,0.5713,0.4167,0.4167
bnn.ltn,900,696,349,900,0.4787,0.4772,0.5377,0.3878,0.3878
btc.ltn,900,696,380,900,0.5129,0.5187,0.5857,0.4222,0.4222
btn.ltn,900,696,365,900,0.5010,0.4944,0.5673,0.4056,0.4056
bnc.ltn,900,696,376,900,0.5225,0.5168,0.5755,0.4178,0.4178
atc.ltn,900,696,368,900,0.4852,0.4898,0.5713,0.4089,0.4089
atn.ltn,900,696,352,900,0.4812,0.4831,0.5553,0.3911,0.3911
anc.ltn,900,696,361,900,0.4952,0.4949,0.5574,0.4011,0.4011
ann.ltn,900,696,350,900,0.4810,0.4824,0.5450,0.3889,0.3889
nnn.ltc,900,696,251,900,0.3169,0.2890,0.3855,0.2789,0.2789
nnc.ltc,900,696,368,900,0.4966,0.5024,0.5577,0.4089,0.4089
