Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,450,696,35,450,0.0713,0.0594,0.0495,0.0778,0.0778
nnc.nnn,450,696,128,450,0.2237,0.1777,0.1908,0.2844,0.2844
ntc.nnn,450,696,233,450,0.4634,0.4627,0.3710,0.5178,0.5178
ntn.nnn,450,696,160,450,0.2974,0.2764,0.2478,0.3556,0.3556
lnn.nnn,450,696,133,450,0.2221,0.1833,0.1988,0.2956,0.2956
ltn.nnn,450,696,227,450,0.4634,0.4604,0.3664,0.5044,0.5044
ltc.nnn,450,696,246,450,0.5029,0.5099,0.3935,0.5467,0.5467
lnc.nnn,450,696,172,450,0.3299,0.3067,0.2621,0.3822,0.3822
bnn.nnn,450,696,170,450,0.3152,0.2920,0.2616,0.3778,0.3778
btc.nnn,450,696,243,450,0.4946,0.5010,0.3869,0.5400,0.5400
btn.nnn,450,696,232,450,0.4738,0.4771,0.3760,0.5156,0.5156
bnc.nnn,450,696,173,450,0.3294,0.3101,0.2646,0.3844,0.3844
atc.nnn,450,696,240,450,0.4742,0.4812,0.3838,0.5333,0.5333
atn.nnn,450,696,236,450,0.4721,0.4749,0.3813,0.5244,0.5244
anc.nnn,450,696,161,450,0.3125,0.2897,0.2451,0.3578,0.3578
ann.nnn,450,696,200,450,0.3676,0.3388,0.3156,0.4444,0.4444
nnn.nnc,450,696,35,450,0.0717,0.0598,0.0496,0.0778,0.0778
nnc.nnc,450,696,128,450,0.2237,0.1777,0.1908,0.2844,0.2844
ntc.nnc,450,696,233,450,0.4634,0.4627,0.3710,0.5178,0.5178
ntn.nnc,450,696,160,450,0.2974,0.2764,0.2478,0.3556,0.3556
lnn.nnc,450,696,133,450,0.2221,0.1833,0.1988,0.2956,0.2956
ltn.nnc,450,696,227,450,0.4634,0.4604,0.3664,0.5044,0.5044
ltc.nnc,450,696,246,450,0.5029,0.5099,0.3935,0.5467,0.5467
lnc.nnc,450,696,172,450,0.3299,0.3067,0.2621,0.3822,0.3822
bnn.nnc,450,696,170,450,0.3152,0.2920,0.2616,0.3778,0.3778
btc.nnc,450,696,243,450,0.4946,0.5010,0.3869,0.5400,0.5400
btn.nnc,450,696,232,450,0.4738,0.4771,0.3760,0.5156,0.5156
bnc.nnc,450,696,173,450,0.3294,0.3101,0.2646,0.3844,0.3844
atc.nnc,450,696,240,450,0.4742,0.4812,0.3838,0.5333,0.5333
atn.nnc,450,696,236,450,0.4721,0.4749,0.3813,0.5244,0.5244
anc.nnc,450,696,161,450,0.3125,0.2897,0.2451,0.3578,0.3578
ann.nnc,450,696,201,450,0.3675,0.3381,0.3178,0.4467,0.4467
nnn.ntc,450,696,160,450,0.2974,0.2764,0.2478,0.3556,0.3556
nnc.ntc,450,696,240,450,0.4909,0.4931,0.3762,0.5333,0.5333
ntc.ntc,450,696,245,450,0.5116,0.5236,0.3906,0.5444,0.5444
ntn.ntc,450,696,235,450,0.4669,0.4707,0.3765,0.5222,0.5222
lnn.ntc,450,696,227,450,0.4634,0.4604,0.3664,0.5044,0.5044
ltn.ntc,450,696,235,450,0.4923,0.4823,0.3806,0.5222,0.5222
ltc.ntc,450,696,248,450,0.5114,0.5179,0.4026,0.5511,0.5511
lnc.ntc,450,696,249,450,0.5212,0.5167,0.3972,0.5533,0.5533
bnn.ntc,450,696,232,450,0.4738,0.4771,0.3760,0.5156,0.5156
btc.ntc,450,696,241,450,0.5060,0.5140,0.3921,0.5356,0.5356
btn.ntc,450,696,235,450,0.4943,0.4931,0.3824,0.5222,0.5222
bnc.ntc,450,696,247,450,0.5181,0.5096,0.3953,0.5489,0.5489
atc.ntc,450,696,238,450,0.4818,0.4930,0.3861,0.5289,0.5289
atn.ntc,450,696,239,450,0.4737,0.4795,0.3859,0.5311,0.5311
anc.ntc,450,696,243,450,0.4857,0.4906,0.3875,0.5400,0.5400
ann.ntc,450,696,236,450,0.4721,0.4748,0.3813,0.5244,0.5244
nnn.ntn,450,696,160,450,0.2974,0.2764,0.2478,0.3556,0.3556
nnc.ntn,450,696,240,450,0.4909,0.4931,0.3762,0.5333,0.5333
ntc.ntn,450,696,245,450,0.5116,0.5236,0.3906,0.5444,0.5444
ntn.ntn,450,696,235,450,0.4669,0.4707,0.3765,0.5222,0.5222
lnn.ntn,450,696,227,450,0.4634,0.4604,0.3664,0.5044,0.5044
ltn.ntn,450,696,235,450,0.4923,0.4823,0.3806,0.5222,0.5222
ltc.ntn,450,696,248,450,0.5114,0.5179,0.4026,0.5511,0.5511
lnc.ntn,450,696,249,450,0.5212,0.5167,0.3972,0.5533,0.5533
bnn.ntn,450,696,232,450,0.4738,0.4771,0.3760,0.5156,0.5156
btc.ntn,450,696,241,450,0.5060,0.5140,0.3921,0.5356,0.5356
btn.ntn,450,696,235,450,0.4943,0.4931,0.3824,0.5222,0.5222
bnc.ntn,450,696,247,450,0.5181,0.5096,0.3953,0.5489,0.5489
atc.ntn,450,696,238,450,0.4818,0.4930,0.3861,0.5289,0.5289
atn.ntn,450,696,239,450,0.4737,0.4795,0.3859,0.5311,0.5311
anc.ntn,450,696,243,450,0.4857,0.4906,0.3875,0.5400,0.5400
ann.ntn,450,696,236,450,0.4721,0.4749,0.3813,0.5244,0.5244
nnn.lnn,450,696,38,450,0.0728,0.0604,0.0533,0.0844,0.0844
nnc.lnn,450,696,134,450,0.2520,0.2002,0.2048,0.2978,0.2978
ntc.lnn,450,696,242,450,0.4744,0.4735,0.3822,0.5378,0.5378
ntn.lnn,450,696,167,450,0.3170,0.2970,0.2583,0.3711,0.3711
lnn.lnn,450,696,133,450,0.2285,0.1886,0.1975,0.2956,0.2956
ltn.lnn,450,696,231,450,0.4703,0.4672,0.3717,0.5133,0.5133
ltc.lnn,450,696,249,450,0.5128,0.5170,0.3967,0.5533,0.5533
lnc.lnn,450,696,184,450,0.3539,0.3233,0.2820,0.4089,0.4089
bnn.lnn,450,696,173,450,0.3181,0.2943,0.2670,0.3844,0.3844
btc.lnn,450,696,247,450,0.5037,0.5095,0.3937,0.5489,0.5489
btn.lnn,450,696,235,450,0.4771,0.4758,0.3789,0.5222,0.5222
bnc.lnn,450,696,185,450,0.3503,0.3273,0.2860,0.4111,0.4111
atc.lnn,450,696,245,450,0.4822,0.4856,0.3896,0.5444,0.5444
atn.lnn,450,696,238,450,0.4787,0.4832,0.3813,0.5289,0.5289
anc.lnn,450,696,176,450,0.3288,0.3052,0.2698,0.3911,0.3911
ann.lnn,450,696,202,450,0.3728,0.3475,0.3185,0.4489,0.4489
nnn.ltn,450,696,167,450,0.3170,0.2970,0.2583,0.3711,0.3711
nnc.ltn,450,696,245,450,0.4986,0.5060,0.3807,0.5444,0.5444
ntc.ltn,450,696,247,450,0.5149,0.5266,0.3923,0.5489,0.5489
ntn.ltn,450,696,235,450,0.4743,0.4768,0.3759,0.5222,0.5222
lnn.ltn,450,696,231,450,0.4703,0.4672,0.3717,0.5133,0.5133
ltn.ltn,450,696,238,450,0.4971,0.4895,0.3843,0.5289,0.5289
ltc.ltn,450,696,250,450,0.5167,0.5242,0.4042,0.5556,0.5556
lnc.ltn,450,696,254,450,0.5278,0.5252,0.4050,0.5644,0.5644
bnn.ltn,450,696,235,450,0.4771,0.4758,0.3789,0.5222,0.5222
btc.ltn,450,696,246,450,0.5115,0.5194,0.3977,0.5467,0.5467
btn.ltn,450,696,237,450,0.4975,0.4937,0.3847,0.5267,0.5267
bnc.ltn,450,696,251,450,0.5234,0.5174,0.4012,0.5578,0.5578
atc.ltn,450,696,241,450,0.4856,0.4938,0.3890,0.5356,0.5356
atn.ltn,450,696,241,450,0.4795,0.4845,0.3876,0.5356,0.5356
anc.ltn,450,696,248,450,0.4942,0.4963,0.3945,0.5511,0.5511
ann.ltn,450,696,238,450,0.4787,0.4832,0.3813,0.5289,0.5289
nnn.ltc,450,696,167,450,0.3170,0.2970,0.2583,0.3711,0.3711
nnc.ltc,450,696,245,450,0.4986,0.5060,0.3807,0.5444,0.5444
ntc.ltc,450,696,247,450,0.5149,0.5266,0.3923,0.5489,0.5489
ntn.ltc,450,696,235,450,0.4743,0.4768,0.3759,0.5222,0.5222
lnn.ltc,450,696,231,450,0.4703,0.4672,0.3717,0.5133,0.5133
ltn.ltc,450,696,238,450,0.4971,0.4895,0.3843,0.5289,0.5289
ltc.ltc,450,696,250,450,0.5167,0.5242,0.4042,0.5556,0.5556
lnc.ltc,450,696,254,450,0.5278,0.5252,0.4050,0.5644,0.5644
bnn.ltc,450,696,235,450,0.4771,0.4758,0.3789,0.5222,0.5222
btc.ltc,450,696,246,450,0.5115,0.5194,0.3977,0.5467,0.5467
btn.ltc,450,696,237,450,0.4975,0.4937,0.3847,0.5267,0.5267
bnc.ltc,450,696,251,450,0.5234,0.5174,0.4012,0.5578,0.5578
atc.ltc,450,696,241,450,0.4856,0.4938,0.3890,0.5356,0.5356
atn.ltc,450,696,241,450,0.4795,0.4845,0.3876,0.5356,0.5356
anc.ltc,450,696,248,450,0.4942,0.4963,0.3945,0.5511,0.5511
ann.ltc,450,696,238,450,0.4787,0.4832,0.3813,0.5289,0.5289
nnn.lnc,450,696,39,450,0.0732,0.0609,0.0549,0.0867,0.0867
nnc.lnc,450,696,134,450,0.2520,0.2002,0.2048,0.2978,0.2978
ntc.lnc,450,696,242,450,0.4744,0.4735,0.3822,0.5378,0.5378
ntn.lnc,450,696,167,450,0.3170,0.2970,0.2583,0.3711,0.3711
lnn.lnc,450,696,133,450,0.2285,0.1886,0.1975,0.2956,0.2956
ltn.lnc,450,696,231,450,0.4703,0.4672,0.3717,0.5133,0.5133
ltc.lnc,450,696,249,450,0.5128,0.5170,0.3967,0.5533,0.5533
lnc.lnc,450,696,184,450,0.3539,0.3233,0.2820,0.4089,0.4089
bnn.lnc,450,696,173,450,0.3181,0.2943,0.2670,0.3844,0.3844
btc.lnc,450,696,247,450,0.5037,0.5095,0.3937,0.5489,0.5489
btn.lnc,450,696,235,450,0.4771,0.4758,0.3789,0.5222,0.5222
bnc.lnc,450,696,185,450,0.3503,0.3273,0.2860,0.4111,0.4111
atc.lnc,450,696,245,450,0.4822,0.4856,0.3896,0.5444,0.5444
atn.lnc,450,696,238,450,0.4787,0.4832,0.3813,0.5289,0.5289
anc.lnc,450,696,176,450,0.3288,0.3052,0.2698,0.3911,0.3911
ann.lnc,450,696,202,450,0.3725,0.3468,0.3185,0.4489,0.4489
nnn.bnn,450,696,38,450,0.0735,0.0610,0.0533,0.0844,0.0844
nnc.bnn,450,696,141,450,0.2654,0.2121,0.2183,0.3133,0.3133
ntc.bnn,450,696,245,450,0.4804,0.4790,0.3870,0.5444,0.5444
ntn.bnn,450,696,166,450,0.3219,0.3042,0.2560,0.3689,0.3689
lnn.bnn,450,696,134,450,0.2322,0.1910,0.1987,0.2978,0.2978
ltn.bnn,450,696,232,450,0.4719,0.4662,0.3735,0.5156,0.5156
ltc.bnn,450,696,252,450,0.5174,0.5202,0.4010,0.5600,0.5600
lnc.bnn,450,696,189,450,0.3632,0.3345,0.2898,0.4200,0.4200
bnn.bnn,450,696,173,450,0.3174,0.2917,0.2653,0.3844,0.3844
btc.bnn,450,696,248,450,0.5075,0.5121,0.3953,0.5511,0.5511
btn.bnn,450,696,237,450,0.4783,0.4748,0.3796,0.5267,0.5267
bnc.bnn,450,696,185,450,0.3596,0.3369,0.2878,0.4111,0.4111
atc.bnn,450,696,248,450,0.4872,0.4873,0.3922,0.5511,0.5511
atn.bnn,450,696,240,450,0.4790,0.4848,0.3852,0.5333,0.5333
anc.bnn,450,696,180,450,0.3386,0.3110,0.2750,0.4000,0.4000
ann.bnn,450,696,202,450,0.3718,0.3463,0.3172,0.4489,0.4489
nnn.btc,450,696,166,450,0.3219,0.3042,0.2560,0.3689,0.3689
nnc.btc,450,696,246,450,0.5002,0.5066,0.3805,0.5467,0.5467
ntc.btc,450,696,250,450,0.5169,0.5279,0.3955,0.5556,0.5556
ntn.btc,450,696,237,450,0.4753,0.4775,0.3763,0.5267,0.5267
lnn.btc,450,696,232,450,0.4719,0.4662,0.3735,0.5156,0.5156
ltn.btc,450,696,240,450,0.4974,0.4894,0.3867,0.5333,0.5333
ltc.btc,450,696,251,450,0.5184,0.5253,0.4050,0.5578,0.5578
lnc.btc,450,696,257,450,0.5300,0.5275,0.4097,0.5711,0.5711
bnn.btc,450,696,237,450,0.4783,0.4748,0.3796,0.5267,0.5267
btc.btc,450,696,248,450,0.5154,0.5188,0.4012,0.5511,0.5511
btn.btc,450,696,237,450,0.4972,0.4916,0.3847,0.5267,0.5267
bnc.btc,450,696,253,450,0.5269,0.5213,0.4034,0.5622,0.5622
atc.btc,450,696,242,450,0.4869,0.4920,0.3905,0.5378,0.5378
atn.btc,450,696,240,450,0.4780,0.4833,0.3863,0.5333,0.5333
anc.btc,450,696,249,450,0.4987,0.5050,0.3954,0.5533,0.5533
ann.btc,450,696,240,450,0.4790,0.4847,0.3852,0.5333,0.5333
nnn.btn,450,696,166,450,0.3219,0.3042,0.2560,0.3689,0.3689
nnc.btn,450,696,246,450,0.5002,0.5066,0.3805,0.5467,0.5467
ntc.btn,450,696,250,450,0.5169,0.5279,0.3955,0.5556,0.5556
ntn.btn,450,696,237,450,0.4753,0.4775,0.3763,0.5267,0.5267
lnn.btn,450,696,232,450,0.4719,0.4662,0.3735,0.5156,0.5156
ltn.btn,450,696,240,450,0.4974,0.4894,0.3867,0.5333,0.5333
ltc.btn,450,696,251,450,0.5184,0.5253,0.4050,0.5578,0.5578
lnc.btn,450,696,257,450,0.5300,0.5275,0.4097,0.5711,0.5711
bnn.btn,450,696,237,450,0.4783,0.4748,0.3796,0.5267,0.5267
btc.btn,450,696,248,450,0.5154,0.5188,0.4012,0.5511,0.5511
btn.btn,450,696,237,450,0.4972,0.4916,0.3847,0.5267,0.5267
bnc.btn,450,696,253,450,0.5269,0.5213,0.4034,0.5622,0.5622
atc.btn,450,696,242,450,0.4869,0.4920,0.3905,0.5378,0.5378
atn.btn,450,696,240,450,0.4780,0.4833,0.3863,0.5333,0.5333
anc.btn,450,696,249,450,0.4987,0.5050,0.3954,0.5533,0.5533
ann.btn,450,696,240,450,0.4790,0.4848,0.3852,0.5333,0.5333
nnn.bnc,450,696,39,450,0.0739,0.0615,0.0549,0.0867,0.0867
nnc.bnc,450,696,141,450,0.2654,0.2121,0.2183,0.3133,0.3133
ntc.bnc,450,696,245,450,0.4804,0.4790,0.3870,0.5444,0.5444
ntn.bnc,450,696,166,450,0.3219,0.3042,0.2560,0.3689,0.3689
lnn.bnc,450,696,134,450,0.2322,0.1910,0.1987,0.2978,0.2978
ltn.bnc,450,696,232,450,0.4719,0.4662,0.3735,0.5156,0.5156
ltc.bnc,450,696,252,450,0.5174,0.5202,0.4010,0.5600,0.5600
lnc.bnc,450,696,189,450,0.3632,0.3345,0.2898,0.4200,0.4200
bnn.bnc,450,696,173,450,0.3174,0.2917,0.2653,0.3844,0.3844
btc.bnc,450,696,248,450,0.5075,0.5121,0.3953,0.5511,0.5511
btn.bnc,450,696,237,450,0.4783,0.4748,0.3796,0.5267,0.5267
bnc.bnc,450,696,185,450,0.3596,0.3369,0.2878,0.4111,0.4111
atc.bnc,450,696,248,450,0.4872,0.4873,0.3922,0.5511,0.5511
atn.bnc,450,696,240,450,0.4790,0.4848,0.3852,0.5333,0.5333
anc.bnc,450,696,180,450,0.3386,0.3110,0.2750,0.4000,0.4000
ann.bnc,450,696,202,450,0.3715,0.3456,0.3172,0.4489,0.4489
nnn.atc,450,696,168,450,0.3237,0.3064,0.2594,0.3733,0.3733
nnc.atc,450,696,251,450,0.5001,0.5071,0.3875,0.5578,0.5578
ntc.atc,450,696,252,450,0.5192,0.5294,0.3984,0.5600,0.5600
ntn.atc,450,696,235,450,0.4733,0.4768,0.3735,0.5222,0.5222
lnn.atc,450,696,232,450,0.4702,0.4643,0.3717,0.5156,0.5156
ltn.atc,450,696,241,450,0.4988,0.4910,0.3866,0.5356,0.5356
ltc.atc,450,696,255,450,0.5206,0.5271,0.4112,0.5667,0.5667
lnc.atc,450,696,256,450,0.5300,0.5321,0.4072,0.5689,0.5689
