Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,450,696,46,450,0.0870,0.0737,0.0643,0.1022,0.1022
nnc.nnn,450,696,144,450,0.2724,0.2378,0.2162,0.3200,0.3200
ntc.nnn,450,696,243,450,0.4948,0.4948,0.3843,0.5400,0.5400
ntn.nnn,450,696,178,450,0.3324,0.3090,0.2797,0.3956,0.3956
lnn.nnn,450,696,149,450,0.2613,0.2262,0.2273,0.3311,0.3311
ltn.nnn,450,696,248,450,0.4875,0.4874,0.3942,0.5511,0.5511
ltc.nnn,450,696,259,450,0.5355,0.5454,0.4126,0.5756,0.5756
lnc.nnn,450,696,198,450,0.3819,0.3560,0.3047,0.4400,0.4400
bnn.nnn,450,696,181,450,0.3384,0.3140,0.2779,0.4022,0.4022
btc.nnn,450,696,254,450,0.5328,0.5370,0.4011,0.5644,0.5644
btn.nnn,450,696,248,450,0.4968,0.4996,0.3954,0.5511,0.5511
bnc.nnn,450,696,194,450,0.3786,0.3595,0.3029,0.4311,0.4311
atc.nnn,450,696,247,450,0.5100,0.5114,0.3864,0.5489,0.5489
atn.nnn,450,696,248,450,0.5096,0.5224,0.3918,0.5511,0.5511
anc.nnn,450,696,177,450,0.3515,0.3356,0.2732,0.3933,0.3933
ann.nnn,450,696,201,450,0.3806,0.3721,0.3118,0.4467,0.4467
nnn.nnc,450,696,47,450,0.0874,0.0746,0.0659,0.1044,0.1044
nnc.nnc,450,696,144,450,0.2724,0.2376,0.2162,0.3200,0.3200
ntc.nnc,450,696,243,450,0.4948,0.4948,0.3843,0.5400,0.5400
ntn.nnc,450,696,178,450,0.3324,0.3090,0.2797,0.3956,0.3956
lnn.nnc,450,696,149,450,0.2613,0.2262,0.2273,0.3311,0.3311
ltn.nnc,450,696,248,450,0.4875,0.4874,0.3942,0.5511,0.5511
ltc.nnc,450,696,259,450,0.5355,0.5454,0.4126,0.5756,0.5756
lnc.nnc,450,696,198,450,0.3819,0.3560,0.3047,0.4400,0.4400
bnn.nnc,450,696,181,450,0.3384,0.3140,0.2779,0.4022,0.4022
btc.nnc,450,696,254,450,0.5328,0.5370,0.4011,0.5644,0.5644
btn.nnc,450,696,248,450,0.4968,0.4996,0.3954,0.5511,0.5511
bnc.nnc,450,696,194,450,0.3786,0.3595,0.3029,0.4311,0.4311
atc.nnc,450,696,247,450,0.5100,0.5114,0.3864,0.5489,0.5489
atn.nnc,450,696,248,450,0.5096,0.5224,0.3918,0.5511,0.5511
anc.nnc,450,696,177,450,0.3515,0.3356,0.2732,0.3933,0.3933
ann.nnc,450,696,201,450,0.3806,0.3717,0.3118,0.4467,0.4467
nnn.ntc,450,696,178,450,0.3324,0.3090,0.2797,0.3956,0.3956
nnc.ntc,450,696,253,450,0.5178,0.5261,0.3977,0.5622,0.5622
ntc.ntc,450,696,260,450,0.5446,0.5502,0.4109,0.5778,0.5778
ntn.ntc,450,696,249,450,0.4909,0.4927,0.3959,0.5533,0.5533
lnn.ntc,450,696,248,450,0.4875,0.4874,0.3942,0.5511,0.5511
ltn.ntc,450,696,263,450,0.5401,0.5519,0.4218,0.5844,0.5844
ltc.ntc,450,696,265,450,0.5581,0.5701,0.4237,0.5889,0.5889
lnc.ntc,450,696,262,450,0.5493,0.5558,0.4169,0.5822,0.5822
bnn.ntc,450,696,248,450,0.4968,0.4996,0.3954,0.5511,0.5511
btc.ntc,450,696,263,450,0.5558,0.5688,0.4230,0.5844,0.5844
btn.ntc,450,696,259,450,0.5376,0.5484,0.4152,0.5756,0.5756
bnc.ntc,450,696,264,450,0.5466,0.5604,0.4180,0.5867,0.5867
atc.ntc,450,696,251,450,0.5300,0.5345,0.4003,0.5578,0.5578
atn.ntc,450,696,255,450,0.5202,0.5331,0.4056,0.5667,0.5667
anc.ntc,450,696,256,450,0.5241,0.5386,0.4019,0.5689,0.5689
ann.ntc,450,696,248,450,0.5096,0.5224,0.3918,0.5511,0.5511
nnn.ntn,450,696,178,450,0.3324,0.3090,0.2797,0.3956,0.3956
nnc.ntn,450,696,253,450,0.5178,0.5261,0.3977,0.5622,0.5622
ntc.ntn,450,696,260,450,0.5446,0.5502,0.4109,0.5778,0.5778
ntn.ntn,450,696,249,450,0.4909,0.4927,0.3959,0.5533,0.5533
lnn.ntn,450,696,248,450,0.4875,0.4874,0.3942,0.5511,0.5511
ltn.ntn,450,696,263,450,0.5401,0.5519,0.4218,0.5844,0.5844
ltc.ntn,450,696,265,450,0.5581,0.5701,0.4237,0.5889,0.5889
lnc.ntn,450,696,262,450,0.5493,0.5558,0.4169,0.5822,0.5822
bnn.ntn,450,696,248,450,0.4968,0.4996,0.3954,0.5511,0.5511
btc.ntn,450,696,263,450,0.5558,0.5688,0.4230,0.5844,0.5844
btn.ntn,450,696,259,450,0.5376,0.5484,0.4152,0.5756,0.5756
bnc.ntn,450,696,264,450,0.5466,0.5604,0.4180,0.5867,0.5867
atc.ntn,450,696,251,450,0.5300,0.5345,0.4003,0.5578,0.5578
atn.ntn,450,696,255,450,0.5202,0.5331,0.4056,0.5667,0.5667
anc.ntn,450,696,256,450,0.5241,0.5386,0.4019,0.5689,0.5689
ann.ntn,450,696,248,450,0.5096,0.5224,0.3918,0.5511,0.5511
nnn.lnn,450,696,47,450,0.0881,0.0751,0.0658,0.1044,0.1044
nnc.lnn,450,696,160,450,0.2983,0.2592,0.2452,0.3556,0.3556
ntc.lnn,450,696,252,450,0.5086,0.5095,0.3953,0.5600,0.5600
ntn.lnn,450,696,188,450,0.3483,0.3258,0.2955,0.4178,0.4178
lnn.lnn,450,696,149,450,0.2647,0.2278,0.2250,0.3311,0.3311
ltn.lnn,450,696,252,450,0.4906,0.4944,0.3992,0.5600,0.5600
ltc.lnn,450,696,270,450,0.5457,0.5555,0.4278,0.6000,0.6000
lnc.lnn,450,696,210,450,0.4073,0.3782,0.3268,0.4667,0.4667
bnn.lnn,450,696,183,450,0.3391,0.3124,0.2832,0.4067,0.4067
