Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,450,696,45,450,0.0868,0.0741,0.0629,0.1000,0.1000
nnc.nnn,450,696,145,450,0.2727,0.2374,0.2183,0.3222,0.3222
ntc.nnn,450,696,240,450,0.4929,0.4937,0.3798,0.5333,0.5333
ntn.nnn,450,696,178,450,0.3279,0.3053,0.2793,0.3956,0.3956
lnn.nnn,450,696,147,450,0.2587,0.2240,0.2246,0.3267,0.3267
ltn.nnn,450,696,246,450,0.4850,0.4901,0.3932,0.5467,0.5467
ltc.nnn,450,696,260,450,0.5358,0.5428,0.4139,0.5778,0.5778
lnc.nnn,450,696,200,450,0.3821,0.3573,0.3091,0.4444,0.4444
bnn.nnn,450,696,181,450,0.3362,0.3137,0.2774,0.4022,0.4022
btc.nnn,450,696,257,450,0.5333,0.5398,0.4075,0.5711,0.5711
btn.nnn,450,696,250,450,0.4956,0.4988,0.4007,0.5556,0.5556
bnc.nnn,450,696,198,450,0.3772,0.3587,0.3094,0.4400,0.4400
atc.nnn,450,696,249,450,0.5131,0.5158,0.3918,0.5533,0.5533
atn.nnn,450,696,249,450,0.5103,0.5212,0.3936,0.5533,0.5533
anc.nnn,450,696,177,450,0.3493,0.3340,0.2718,0.3933,0.3933
ann.nnn,450,696,200,450,0.3818,0.3726,0.3104,0.4444,0.4444
nnn.nnc,450,696,46,450,0.0870,0.0743,0.0645,0.1022,0.1022
nnc.nnc,450,696,145,450,0.2727,0.2372,0.2183,0.3222,0.3222
ntc.nnc,450,696,240,450,0.4929,0.4937,0.3798,0.5333,0.5333
ntn.nnc,450,696,178,450,0.3279,0.3053,0.2793,0.3956,0.3956
lnn.nnc,450,696,147,450,0.2586,0.2240,0.2246,0.3267,0.3267
ltn.nnc,450,696,246,450,0.4850,0.4901,0.3932,0.5467,0.5467
ltc.nnc,450,696,260,450,0.5358,0.5428,0.4139,0.5778,0.5778
lnc.nnc,450,696,200,450,0.3821,0.3573,0.3091,0.4444,0.4444
bnn.nnc,450,696,181,450,0.3361,0.3137,0.2774,0.4022,0.4022
btc.nnc,450,696,257,450,0.5333,0.5398,0.4075,0.5711,0.5711
btn.nnc,450,696,250,450,0.4956,0.4988,0.4007,0.5556,0.5556
bnc.nnc,450,696,198,450,0.3772,0.3587,0.3094,0.4400,0.4400
atc.nnc,450,696,249,450,0.5131,0.5158,0.3918,0.5533,0.5533
atn.nnc,450,696,249,450,0.5103,0.5212,0.3936,0.5533,0.5533
anc.nnc,450,696,177,450,0.3493,0.3340,0.2718,0.3933,0.3933
ann.nnc,450,696,200,450,0.3817,0.3723,0.3104,0.4444,0.4444
nnn.ntc,450,696,178,450,0.3279,0.3053,0.2793,0.3956,0.3956
nnc.ntc,450,696,252,450,0.5180,0.5242,0.3960,0.5600,0.5600
ntc.ntc,450,696,260,450,0.5446,0.5519,0.4106,0.5778,0.5778
ntn.ntc,450,696,249,450,0.4932,0.4923,0.3972,0.5533,0.5533
lnn.ntc,450,696,246,450,0.4850,0.4901,0.3932,0.5467,0.5467
ltn.ntc,450,696,264,450,0.5373,0.5495,0.4233,0.5867,0.5867
ltc.ntc,450,696,262,450,0.5621,0.5760,0.4191,0.5822,0.5822
lnc.ntc,450,696,263,450,0.5503,0.5581,0.4195,0.5844,0.5844
bnn.ntc,450,696,250,450,0.4956,0.4988,0.4007,0.5556,0.5556
btc.ntc,450,696,265,450,0.5571,0.5735,0.4260,0.5889,0.5889
btn.ntc,450,696,258,450,0.5393,0.5486,0.4146,0.5733,0.5733
bnc.ntc,450,696,263,450,0.5478,0.5588,0.4159,0.5844,0.5844
atc.ntc,450,696,253,450,0.5314,0.5343,0.4051,0.5622,0.5622
atn.ntc,450,696,252,450,0.5217,0.5340,0.4021,0.5600,0.5600
anc.ntc,450,696,253,450,0.5278,0.5400,0.3978,0.5622,0.5622
