Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,900,696,77,900,0.0868,0.0741,0.1091,0.0856,0.0856
nnc.nnn,900,696,212,900,0.2727,0.2374,0.3126,0.2356,0.2356
ntc.nnn,900,696,358,900,0.4929,0.4937,0.5447,0.3978,0.3978
ntn.nnn,900,696,263,900,0.3279,0.3053,0.4008,0.2922,0.2922
lnn.nnn,900,696,207,900,0.2587,0.2240,0.3087,0.2300,0.2300
ltn.nnn,900,696,348,900,0.4850,0.4901,0.5421,0.3867,0.3867
ltc.nnn,900,696,388,900,0.5358,0.5428,0.5942,0.4311,0.4311
lnc.nnn,900,696,276,900,0.3821,0.3573,0.4181,0.3067,0.3067
bnn.nnn,900,696,261,900,0.3362,0.3137,0.3988,0.2900,0.2900
btc.nnn,900,696,388,900,0.5333,0.5398,0.5933,0.4311,0.4311
btn.nnn,900,696,358,900,0.4956,0.4988,0.5561,0.3978,0.3978
bnc.nnn,900,696,280,900,0.3772,0.3587,0.4249,0.3111,0.3111
atc.nnn,900,696,375,900,0.5131,0.5158,0.5750,0.4167,0.4167
atn.nnn,900,696,366,900,0.5103,0.5212,0.5735,0.4067,0.4067
anc.nnn,900,696,266,900,0.3493,0.3340,0.4054,0.2956,0.2956
ann.nnn,900,696,286,900,0.3818,0.3726,0.4330,0.3178,0.3178
nnn.nnc,900,696,76,900,0.0870,0.0743,0.1076,0.0844,0.0844
nnc.nnc,900,696,212,900,0.2727,0.2372,0.3126,0.2356,0.2356
ntc.nnc,900,696,358,900,0.4929,0.4937,0.5447,0.3978,0.3978
ntn.nnc,900,696,263,900,0.3279,0.3053,0.4008,0.2922,0.2922
lnn.nnc,900,696,207,900,0.2586,0.2240,0.3087,0.2300,0.2300
ltn.nnc,900,696,348,900,0.4850,0.4901,0.5421,0.3867,0.3867
ltc.nnc,900,696,388,900,0.5358,0.5428,0.5942,0.4311,0.4311
lnc.nnc,900,696,276,900,0.3821,0.3573,0.4181,0.3067,0.3067
bnn.nnc,900,696,261,900,0.3361,0.3137,0.3988,0.2900,0.2900
btc.nnc,900,696,388,900,0.5333,0.5398,0.5933,0.4311,0.4311
btn.nnc,900,696,358,900,0.4956,0.4988,0.5561,0.3978,0.3978
bnc.nnc,900,696,280,900,0.3772,0.3587,0.4249,0.3111,0.3111
atc.nnc,900,696,375,900,0.5131,0.5158,0.5750,0.4167,0.4167
atn.nnc,900,696,366,900,0.5103,0.5212,0.5735,0.4067,0.4067
anc.nnc,900,696,266,900,0.3493,0.3340,0.4054,0.2956,0.2956
ann.nnc,900,696,286,900,0.3817,0.3723,0.4330,0.3178,0.3178
nnn.ntc,900,696,263,900,0.3279,0.3053,0.4008,0.2922,0.2922
nnc.ntc,900,696,380,900,0.5180,0.5242,0.5785,0.4222,0.4222
ntc.ntc,900,696,405,900,0.5446,0.5519,0.6170,0.4500,0.4500
ntn.ntc,900,696,357,900,0.4932,0.4923,0.5535,0.3967,0.3967
lnn.ntc,900,696,348,900,0.4850,0.4901,0.5421,0.3867,0.3867
ltn.ntc,900,696,392,900,0.5373,0.5495,0.6042,0.4356,0.4356
ltc.ntc,900,696,425,900,0.5621,0.5760,0.6505,0.4722,0.4722
lnc.ntc,900,696,403,900,0.5503,0.5581,0.6176,0.4478,0.4478
bnn.ntc,900,696,358,900,0.4956,0.4988,0.5561,0.3978,0.3978
btc.ntc,900,696,415,900,0.5571,0.5735,0.6360,0.4611,0.4611
btn.ntc,900,696,393,900,0.5393,0.5486,0.6095,0.4367,0.4367
bnc.ntc,900,696,397,900,0.5478,0.5588,0.6093,0.4411,0.4411
atc.ntc,900,696,397,900,0.5314,0.5343,0.6119,0.4411,0.4411
atn.ntc,900,696,387,900,0.5217,0.5340,0.6049,0.4300,0.4300
anc.ntc,900,696,380,900,0.5278,0.5400,0.5917,0.4222,0.4222
ann.ntc,900,696,366,900,0.5103,0.5212,0.5735,0.4067,0.4067
nnn.ntn,900,696,263,900,0.3279,0.3053,0.4008,0.2922,0.2922
nnc.ntn,900,696,380,900,0.5180,0.5242,0.5785,0.4222,0.4222
ntc.ntn,900,696,405,900,0.5446,0.5519,0.6170,0.4500,0.4500
ntn.ntn,900,696,357,900,0.4932,0.4923,0.5535,0.3967,0.3967
lnn.ntn,900,696,348,900,0.4850,0.4901,0.5421,0.3867,0.3867
ltn.ntn,900,696,392,900,0.5373,0.5495,0.6042,0.4356,0.4356
ltc.ntn,900,696,425,900,0.5621,0.5760,0.6505,0.4722,0.4722
lnc.ntn,900,696,403,900,0.5503,0.5581,0.6176,0.4478,0.4478
bnn.ntn,900,696,358,900,0.4956,0.4988,0.5561,0.3978,0.3978
btc.ntn,900,696,415,900,0.5571,0.5735,0.6360,0.4611,0.4611
btn.ntn,900,696,393,900,0.5393,0.5486,0.6095,0.4367,0.4367
bnc.ntn,900,696,397,900,0.5478,0.5588,0.6093,0.4411,0.4411
atc.ntn,900,696,397,900,0.5314,0.5343,0.6119,0.4411,0.4411
atn.ntn,900,696,387,900,0.5217,0.5340,0.6049,0.4300,0.4300
anc.ntn,900,696,380,900,0.5278,0.5400,0.5917,0.4222,0.4222
ann.ntn,900,696,366,900,0.5103,0.5212,0.5735,0.4067,0.4067
nnn.lnn,900,696,78,900,0.0877,0.0755,0.1109,0.0867,0.0867
nnc.lnn,900,696,232,900,0.2975,0.2624,0.3447,0.2578,0.2578
ntc.lnn,900,696,367,899,0.5046,0.5032,0.5573,0.4078,0.4086
ntn.lnn,900,696,274,900,0.3441,0.3229,0.4177,0.3044,0.3044
lnn.lnn,900,696,212,900,0.2615,0.2248,0.3171,0.2356,0.2356
ltn.lnn,900,696,349,900,0.4896,0.4958,0.5402,0.3878,0.3878
ltc.lnn,900,696,395,900,0.5480,0.5587,0.6014,0.4389,0.4389
lnc.lnn,900,696,290,900,0.4053,0.3777,0.4383,0.3222,0.3222
bnn.lnn,900,696,266,900,0.3369,0.3100,0.4050,0.2956,0.2956
btc.lnn,900,696,393,900,0.5415,0.5465,0.5969,0.4367,0.4367
btn.lnn,900,696,359,900,0.5026,0.5060,0.5570,0.3989,0.3989
bnc.lnn,900,696,293,900,0.3960,0.3723,0.4440,0.3256,0.3256
atc.lnn,900,696,374,900,0.5211,0.5221,0.5705,0.4156,0.4156
atn.lnn,900,696,369,900,0.5137,0.5252,0.5739,0.4100,0.4100
anc.lnn,900,696,280,900,0.3701,0.3461,0.4257,0.3111,0.3111
ann.lnn,900,696,285,900,0.3844,0.3783,0.4299,0.3167,0.3167
nnn.ltn,900,696,274,900,0.3441,0.3229,0.4177,0.3044,0.3044
nnc.ltn,900,696,389,900,0.5248,0.5289,0.5889,0.4322,0.4322
ntc.ltn,900,696,413,900,0.5501,0.5526,0.6263,0.4589,0.4589
ntn.ltn,900,696,363,900,0.4955,0.4957,0.5612,0.4033,0.4033
lnn.ltn,900,696,349,900,0.4896,0.4958,0.5402,0.3878,0.3878
ltn.ltn,900,696,397,900,0.5395,0.5507,0.6085,0.4411,0.4411
ltc.ltn,900,696,434,900,0.5685,0.5822,0.6587,0.4822,0.4822
lnc.ltn,900,696,411,900,0.5553,0.5626,0.6253,0.4567,0.4567
bnn.ltn,900,696,359,900,0.5026,0.5060,0.5570,0.3989,0.3989
btc.ltn,900,696,422,900,0.5642,0.5783,0.6415,0.4689,0.4689
btn.ltn,900,696,395,900,0.5410,0.5488,0.6107,0.4389,0.4389
bnc.ltn,900,696,403,900,0.5554,0.5661,0.6148,0.4478,0.4478
atc.ltn,900,696,400,900,0.5378,0.5396,0.6132,0.4444,0.4444
atn.ltn,900,696,395,900,0.5229,0.5373,0.6141,0.4389,0.4389
anc.ltn,900,696,384,900,0.5329,0.5452,0.5949,0.4267,0.4267
ann.ltn,900,696,369,900,0.5137,0.5252,0.5739,0.4100,0.4100
nnn.ltc,900,696,274,900,0.3441,0.3229,0.4177,0.3044,0.3044
nnc.ltc,900,696,389,900,0.5248,0.5289,0.5889,0.4322,0.4322
ntc.ltc,900,696,413,900,0.5501,0.5526,0.6263,0.4589,0.4589
ntn.ltc,900,696,363,900,0.4955,0.4957,0.5612,0.4033,0.4033
lnn.ltc,900,696,349,900,0.4896,0.4958,0.5402,0.3878,0.3878
ltn.ltc,900,696,397,900,0.5395,0.5507,0.6085,0.4411,0.4411
ltc.ltc,900,696,434,900,0.5685,0.5822,0.6587,0.4822,0.4822
lnc.ltc,900,696,411,900,0.5553,0.5626,0.6253,0.4567,0.4567
bnn.ltc,900,696,359,900,0.5026,0.5060,0.5570,0.3989,0.3989
btc.ltc,900,696,422,900,0.5642,0.5783,0.6415,0.4689,0.4689
btn.ltc,900,696,395,900,0.5410,0.5488,0.6107,0.4389,0.4389
bnc.ltc,900,696,403,900,0.5554,0.5661,0.6148,0.4478,0.4478
atc.ltc,900,696,400,900,0.5378,0.5396,0.6132,0.4444,0.4444
atn.ltc,900,696,395,900,0.5229,0.5373,0.6141,0.4389,0.4389
anc.ltc,900,696,384,900,0.5329,0.5452,0.5949,0.4267,0.4267
ann.ltc,900,696,369,900,0.5137,0.5252,0.5739,0.4100,0.4100
nnn.lnc,900,696,77,900,0.0880,0.0758,0.1095,0.0856,0.0856
nnc.lnc,900,696,232,900,0.2975,0.2623,0.3447,0.2578,0.2578
ntc.lnc,900,696,367,899,0.5046,0.5032,0.5573,0.4078,0.4086
ntn.lnc,900,696,274,900,0.3441,0.3229,0.4177,0.3044,0.3044
lnn.lnc,900,696,212,900,0.2615,0.2249,0.3171,0.2356,0.2356
ltn.lnc,900,696,349,900,0.4896,0.4958,0.5402,0.3878,0.3878
ltc.lnc,900,696,395,900,0.5480,0.5587,0.6014,0.4389,0.4389
lnc.lnc,900,696,290,900,0.4053,0.3777,0.4383,0.3222,0.3222
bnn.lnc,900,696,266,900,0.3368,0.3100,0.4050,0.2956,0.2956
btc.lnc,900,696,393,900,0.5415,0.5465,0.5969,0.4367,0.4367
btn.lnc,900,696,359,900,0.5026,0.5060,0.5570,0.3989,0.3989
bnc.lnc,900,696,293,900,0.3960,0.3723,0.4440,0.3256,0.3256
atc.lnc,900,696,374,900,0.5211,0.5221,0.5705,0.4156,0.4156
atn.lnc,900,696,369,900,0.5137,0.5252,0.5739,0.4100,0.4100
anc.lnc,900,696,280,900,0.3701,0.3461,0.4257,0.3111,0.3111
ann.lnc,900,696,285,900,0.3846,0.3784,0.4299,0.3167,0.3167
nnn.bnn,900,696,80,900,0.0886,0.0762,0.1136,0.0889,0.0889
nnc.bnn,900,696,238,900,0.3107,0.2719,0.3534,0.2644,0.2644
ntc.bnn,900,696,369,899,0.5106,0.5107,0.5595,0.4100,0.4108
ntn.bnn,900,696,276,900,0.3479,0.3321,0.4201,0.3067,0.3067
lnn.bnn,900,696,212,900,0.2613,0.2252,0.3162,0.2356,0.2356
