Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,1395,2084,238,1381,0.1452,0.1187,0.1350,0.1706,0.1806
nnn.nnc,1395,2084,238,1381,0.1476,0.1196,0.1362,0.1706,0.1806
nnn.ntn,1395,2084,276,1381,0.1815,0.1576,0.1723,0.1978,0.2079
nnn.ntc,1395,2084,276,1381,0.1815,0.1574,0.1723,0.1978,0.2079
nnn.lnn,1395,2084,238,1381,0.1458,0.1192,0.1350,0.1706,0.1806
nnn.lnc,1395,2084,240,1381,0.1493,0.1200,0.1372,0.1720,0.1821
nnn.ltn,1395,2084,276,1381,0.1817,0.1580,0.1724,0.1978,0.2079
nnn.ltc,1395,2084,276,1381,0.1817,0.1579,0.1724,0.1978,0.2079
nnn.ann,1395,2084,249,1381,0.1553,0.1286,0.1422,0.1785,0.1885
nnn.anc,1395,2084,240,1381,0.1507,0.1210,0.1391,0.1720,0.1821
nnn.atn,1395,2084,277,1381,0.1824,0.1584,0.1739,0.1986,0.2086
nnn.atc,1395,2084,277,1381,0.1824,0.1582,0.1739,0.1986,0.2086
nnn.bnn,1395,2084,238,1381,0.1459,0.1193,0.1350,0.1706,0.1806
nnn.bnc,1395,2084,238,1381,0.1495,0.1203,0.1362,0.1706,0.1806
nnn.btn,1395,2084,277,1381,0.1823,0.1583,0.1739,0.1986,0.2086
nnn.btc,1395,2084,277,1381,0.1823,0.1582,0.1739,0.1986,0.2086
nnc.nnn,1395,2084,246,1381,0.1617,0.1406,0.1507,0.1763,0.1864
nnc.nnc,1395,2084,245,1381,0.1617,0.1407,0.1500,0.1756,0.1857
nnc.ntn,1395,2084,271,1381,0.1991,0.1779,0.1757,0.1943,0.2043
nnc.ntc,1395,2084,271,1381,0.1991,0.1779,0.1757,0.1943,0.2043
nnc.lnn,1395,2084,248,1381,0.1641,0.1431,0.1525,0.1778,0.1878
nnc.lnc,1395,2084,247,1381,0.1642,0.1432,0.1517,0.1771,0.1871
nnc.ltn,1395,2084,272,1381,0.1996,0.1784,0.1761,0.1950,0.2050
nnc.ltc,1395,2084,272,1381,0.1996,0.1784,0.1761,0.1950,0.2050
nnc.ann,1395,2084,253,1381,0.1646,0.1442,0.1568,0.1814,0.1914
nnc.anc,1395,2084,252,1381,0.1645,0.1443,0.1561,0.1806,0.1907
nnc.atn,1395,2084,277,1381,0.2006,0.1801,0.1793,0.1986,0.2086
nnc.atc,1395,2084,277,1381,0.2006,0.1801,0.1793,0.1986,0.2086
nnc.bnn,1395,2084,249,1381,0.1641,0.1435,0.1529,0.1785,0.1885
nnc.bnc,1395,2084,248,1381,0.1641,0.1435,0.1522,0.1778,0.1878
nnc.btn,1395,2084,274,1381,0.2003,0.1798,0.1769,0.1964,0.2065
nnc.btc,1395,2084,274,1381,0.2003,0.1798,0.1769,0.1964,0.2065
ntn.nnn,1395,2084,276,1381,0.1815,0.1576,0.1723,0.1978,0.2079
ntn.nnc,1395,2084,276,1381,0.1815,0.1576,0.1723,0.1978,0.2079
ntn.ntn,1395,2084,295,1381,0.1933,0.1707,0.1918,0.2115,0.2215
ntn.ntc,1395,2084,295,1381,0.1934,0.1708,0.1918,0.2115,0.2215
ntn.lnn,1395,2084,276,1381,0.1817,0.1580,0.1724,0.1978,0.2079
ntn.lnc,1395,2084,276,1381,0.1817,0.1580,0.1724,0.1978,0.2079
ntn.ltn,1395,2084,296,1381,0.1934,0.1709,0.1934,0.2122,0.2222
ntn.ltc,1395,2084,296,1381,0.1935,0.1710,0.1934,0.2122,0.2222
ntn.ann,1395,2084,277,1381,0.1824,0.1584,0.1739,0.1986,0.2086
ntn.anc,1395,2084,277,1381,0.1824,0.1584,0.1739,0.1986,0.2086
ntn.atn,1395,2084,295,1381,0.1935,0.1713,0.1930,0.2115,0.2215
ntn.atc,1395,2084,295,1381,0.1936,0.1714,0.1930,0.2115,0.2215
ntn.bnn,1395,2084,277,1381,0.1823,0.1583,0.1739,0.1986,0.2086
ntn.bnc,1395,2084,277,1381,0.1823,0.1583,0.1739,0.1986,0.2086
ntn.btn,1395,2084,296,1381,0.1935,0.1711,0.1934,0.2122,0.2222
ntn.btc,1395,2084,296,1381,0.1935,0.1713,0.1934,0.2122,0.2222
ntc.nnn,1395,2084,247,1381,0.1736,0.1501,0.1625,0.1771,0.1871
ntc.nnc,1395,2084,247,1381,0.1736,0.1501,0.1625,0.1771,0.1871
ntc.ntn,1395,2084,267,1381,0.1885,0.1650,0.1748,0.1914,0.2014
ntc.ntc,1395,2084,267,1381,0.1885,0.1650,0.1748,0.1914,0.2014
ntc.lnn,1395,2084,249,1381,0.1752,0.1510,0.1627,0.1785,0.1885
ntc.lnc,1395,2084,249,1381,0.1752,0.1510,0.1627,0.1785,0.1885
ntc.ltn,1395,2084,266,1381,0.1890,0.1652,0.1743,0.1907,0.2007
ntc.ltc,1395,2084,266,1381,0.1890,0.1652,0.1743,0.1907,0.2007
ntc.ann,1395,2084,251,1381,0.1773,0.1536,0.1647,0.1799,0.1900
ntc.anc,1395,2084,251,1381,0.1773,0.1536,0.1647,0.1799,0.1900
ntc.atn,1395,2084,270,1381,0.1889,0.1644,0.1772,0.1935,0.2036
ntc.atc,1395,2084,270,1381,0.1889,0.1644,0.1772,0.1935,0.2036
ntc.bnn,1395,2084,249,1381,0.1760,0.1531,0.1627,0.1785,0.1885
ntc.bnc,1395,2084,249,1381,0.1760,0.1531,0.1627,0.1785,0.1885
ntc.btn,1395,2084,268,1381,0.1890,0.1654,0.1762,0.1921,0.2022
ntc.btc,1395,2084,268,1381,0.1890,0.1654,0.1762,0.1921,0.2022
lnn.nnn,1395,2084,294,1381,0.1899,0.1591,0.1673,0.2108,0.2208
lnn.nnc,1395,2084,292,1381,0.1899,0.1590,0.1665,0.2093,0.2194
lnn.ntn,1395,2084,335,1381,0.2211,0.1999,0.2072,0.2401,0.2502
lnn.ntc,1395,2084,335,1381,0.2211,0.1999,0.2072,0.2401,0.2502
lnn.lnn,1395,2084,295,1381,0.1905,0.1601,0.1688,0.2115,0.2215
lnn.lnc,1395,2084,293,1381,0.1905,0.1602,0.1680,0.2100,0.2201
lnn.ltn,1395,2084,336,1381,0.2215,0.2003,0.2087,0.2409,0.2509
lnn.ltc,1395,2084,336,1381,0.2215,0.2003,0.2087,0.2409,0.2509
lnn.ann,1395,2084,300,1381,0.1910,0.1606,0.1727,0.2151,0.2251
lnn.anc,1395,2084,296,1381,0.1910,0.1603,0.1704,0.2122,0.2222
lnn.atn,1395,2084,337,1381,0.2219,0.2006,0.2092,0.2416,0.2516
lnn.atc,1395,2084,337,1381,0.2219,0.2006,0.2092,0.2416,0.2516
lnn.bnn,1395,2084,296,1381,0.1907,0.1603,0.1701,0.2122,0.2222
lnn.bnc,1395,2084,294,1381,0.1906,0.1600,0.1693,0.2108,0.2208
lnn.btn,1395,2084,336,1381,0.2218,0.2006,0.2087,0.2409,0.2509
lnn.btc,1395,2084,336,1381,0.2218,0.2006,0.2087,0.2409,0.2509
lnc.nnn,1395,2084,248,1381,0.1697,0.1470,0.1490,0.1778,0.1878
lnc.nnc,1395,2084,248,1381,0.1697,0.1470,0.1490,0.1778,0.1878
lnc.ntn,1395,2084,284,1381,0.1993,0.1755,0.1790,0.2036,0.2136
lnc.ntc,1395,2084,284,1381,0.1993,0.1755,0.1790,0.2036,0.2136
lnc.lnn,1395,2084,249,1381,0.1707,0.1494,0.1495,0.1785,0.1885
