Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,2790,2084,80,2790,0.0285,0.0220,0.0275,0.0287,0.0287
nnc.nnn,2790,2084,228,2761,0.0842,0.0617,0.1200,0.0817,0.0921
ntc.nnn,2790,2084,394,2761,0.1580,0.1371,0.2208,0.1412,0.1516
ntn.nnn,2790,2084,298,2761,0.1173,0.0978,0.1610,0.1068,0.1172
lnn.nnn,2790,2084,237,2762,0.0816,0.0577,0.1111,0.0849,0.0900
ltn.nnn,2790,2084,458,2761,0.1926,0.1614,0.2493,0.1642,0.1746
ltc.nnn,2790,2084,411,2761,0.1565,0.1394,0.2331,0.1473,0.1577
lnc.nnn,2790,2084,239,2761,0.0897,0.0731,0.1309,0.0857,0.0961
bnn.nnn,2790,2084,328,2761,0.1250,0.0971,0.1596,0.1176,0.1280
btc.nnn,2790,2084,398,2761,0.1490,0.1323,0.2285,0.1427,0.1530
btn.nnn,2790,2084,505,2761,0.2177,0.1884,0.2710,0.1810,0.1914
bnc.nnn,2790,2084,236,2761,0.0877,0.0733,0.1309,0.0846,0.0950
atc.nnn,2790,2084,372,2761,0.1422,0.1259,0.2076,0.1333,0.1437
atn.nnn,2790,2084,498,2761,0.2251,0.1995,0.2799,0.1785,0.1889
anc.nnn,2790,2084,226,2761,0.0841,0.0720,0.1235,0.0810,0.0914
ann.nnn,2790,2084,388,2758,0.1553,0.1242,0.1991,0.1391,0.1495
nnn.nnc,2790,2084,78,2790,0.0285,0.0221,0.0269,0.0280,0.0280
nnc.nnc,2790,2084,228,2761,0.0842,0.0617,0.1200,0.0817,0.0921
ntc.nnc,2790,2084,394,2761,0.1580,0.1371,0.2208,0.1412,0.1516
ntn.nnc,2790,2084,298,2761,0.1173,0.0978,0.1610,0.1068,0.1172
lnn.nnc,2790,2084,236,2762,0.0816,0.0577,0.1103,0.0846,0.0896
ltn.nnc,2790,2084,458,2761,0.1926,0.1614,0.2493,0.1642,0.1746
ltc.nnc,2790,2084,411,2761,0.1565,0.1394,0.2331,0.1473,0.1577
lnc.nnc,2790,2084,239,2761,0.0897,0.0731,0.1309,0.0857,0.0961
bnn.nnc,2790,2084,328,2761,0.1255,0.0972,0.1596,0.1176,0.1280
btc.nnc,2790,2084,398,2761,0.1490,0.1323,0.2285,0.1427,0.1530
btn.nnc,2790,2084,505,2761,0.2177,0.1884,0.2710,0.1810,0.1914
bnc.nnc,2790,2084,236,2761,0.0877,0.0733,0.1309,0.0846,0.0950
atc.nnc,2790,2084,372,2761,0.1422,0.1259,0.2076,0.1333,0.1437
atn.nnc,2790,2084,498,2761,0.2251,0.1995,0.2799,0.1785,0.1889
anc.nnc,2790,2084,226,2761,0.0841,0.0720,0.1235,0.0810,0.0914
ann.nnc,2790,2084,388,2758,0.1552,0.1243,0.1991,0.1391,0.1495
nnn.ntc,2790,2084,298,2761,0.1173,0.0978,0.1610,0.1068,0.1172
nnc.ntc,2790,2084,392,2761,0.1658,0.1459,0.2302,0.1405,0.1509
ntc.ntc,2790,2084,436,2761,0.1812,0.1573,0.2533,0.1563,0.1667
ntn.ntc,2790,2084,426,2761,0.1833,0.1606,0.2501,0.1527,0.1631
lnn.ntc,2790,2084,458,2761,0.1926,0.1614,0.2493,0.1642,0.1746
ltn.ntc,2790,2084,502,2761,0.2134,0.1939,0.2836,0.1799,0.1903
