Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,1395,2084,46,1395,0.0285,0.0220,0.0164,0.0330,0.0330
nnc.nnn,1395,2084,148,1381,0.0842,0.0617,0.0857,0.1061,0.1161
ntc.nnn,1395,2084,240,1381,0.1580,0.1371,0.1491,0.1720,0.1821
ntn.nnn,1395,2084,181,1381,0.1173,0.0978,0.0984,0.1297,0.1398
lnn.nnn,1395,2084,152,1382,0.0816,0.0577,0.0716,0.1090,0.1136
ltn.nnn,1395,2084,295,1381,0.1926,0.1614,0.1770,0.2115,0.2215
ltc.nnn,1395,2084,242,1381,0.1565,0.1394,0.1512,0.1735,0.1835
lnc.nnn,1395,2084,148,1381,0.0897,0.0731,0.0905,0.1061,0.1161
bnn.nnn,1395,2084,210,1381,0.1250,0.0971,0.1116,0.1505,0.1606
btc.nnn,1395,2084,241,1381,0.1490,0.1323,0.1464,0.1728,0.1828
btn.nnn,1395,2084,335,1381,0.2177,0.1884,0.2017,0.2401,0.2502
bnc.nnn,1395,2084,147,1381,0.0877,0.0733,0.0874,0.1054,0.1154
atc.nnn,1395,2084,225,1381,0.1422,0.1259,0.1348,0.1613,0.1713
atn.nnn,1395,2084,332,1381,0.2251,0.1995,0.2011,0.2380,0.2480
anc.nnn,1395,2084,128,1381,0.0841,0.0720,0.0792,0.0918,0.1018
ann.nnn,1395,2084,256,1381,0.1553,0.1242,0.1383,0.1835,0.1935
nnn.nnc,1395,2084,46,1395,0.0285,0.0221,0.0164,0.0330,0.0330
nnc.nnc,1395,2084,148,1381,0.0842,0.0617,0.0857,0.1061,0.1161
ntc.nnc,1395,2084,240,1381,0.1580,0.1371,0.1491,0.1720,0.1821
ntn.nnc,1395,2084,181,1381,0.1173,0.0978,0.0984,0.1297,0.1398
lnn.nnc,1395,2084,152,1382,0.0816,0.0577,0.0716,0.1090,0.1136
ltn.nnc,1395,2084,295,1381,0.1926,0.1614,0.1770,0.2115,0.2215
ltc.nnc,1395,2084,242,1381,0.1565,0.1394,0.1512,0.1735,0.1835
lnc.nnc,1395,2084,148,1381,0.0897,0.0731,0.0905,0.1061,0.1161
bnn.nnc,1395,2084,210,1381,0.1255,0.0972,0.1116,0.1505,0.1606
btc.nnc,1395,2084,241,1381,0.1490,0.1323,0.1464,0.1728,0.1828
btn.nnc,1395,2084,335,1381,0.2177,0.1884,0.2017,0.2401,0.2502
bnc.nnc,1395,2084,147,1381,0.0877,0.0733,0.0874,0.1054,0.1154
atc.nnc,1395,2084,225,1381,0.1422,0.1259,0.1348,0.1613,0.1713
atn.nnc,1395,2084,332,1381,0.2251,0.1995,0.2011,0.2380,0.2480
anc.nnc,1395,2084,128,1381,0.0841,0.0720,0.0792,0.0918,0.1018
ann.nnc,1395,2084,257,1381,0.1552,0.1243,0.1391,0.1842,0.1943
nnn.ntc,1395,2084,181,1381,0.1173,0.0978,0.0984,0.1297,0.1398
nnc.ntc,1395,2084,239,1381,0.1658,0.1459,0.1606,0.1713,0.1814
ntc.ntc,1395,2084,256,1381,0.1812,0.1573,0.1714,0.1835,0.1935
ntn.ntc,1395,2084,282,1381,0.1833,0.1606,0.1840,0.2022,0.2122
lnn.ntc,1395,2084,295,1381,0.1926,0.1614,0.1770,0.2115,0.2215
ltn.ntc,1395,2084,324,1381,0.2134,0.1939,0.2053,0.2323,0.2423
ltc.ntc,1395,2084,263,1381,0.1790,0.1588,0.1672,0.1885,0.1986
lnc.ntc,1395,2084,269,1381,0.1812,0.1615,0.1709,0.1928,0.2029
bnn.ntc,1395,2084,335,1381,0.2177,0.1884,0.2017,0.2401,0.2502
btc.ntc,1395,2084,262,1381,0.1737,0.1546,0.1626,0.1878,0.1978
btn.ntc,1395,2084,346,1381,0.2263,0.2084,0.2134,0.2480,0.2581
bnc.ntc,1395,2084,275,1381,0.1799,0.1597,0.1694,0.1971,0.2072
atc.ntc,1395,2084,259,1381,0.1633,0.1445,0.1532,0.1857,0.1957
