Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,1395,2084,251,1380,0.1642,0.1465,0.1584,0.1799,0.1900
nnn.nnc,1395,2084,254,1380,0.1665,0.1490,0.1611,0.1821,0.1922
nnn.ntn,1395,2084,312,1378,0.2096,0.1892,0.2086,0.2237,0.2344
nnn.ntc,1395,2084,312,1378,0.2096,0.1892,0.2086,0.2237,0.2344
nnn.lnn,1395,2084,252,1380,0.1645,0.1470,0.1588,0.1806,0.1907
nnn.lnc,1395,2084,256,1380,0.1677,0.1504,0.1618,0.1835,0.1936
nnn.ltn,1395,2084,313,1378,0.2100,0.1891,0.2101,0.2244,0.2351
nnn.ltc,1395,2084,313,1378,0.2100,0.1891,0.2101,0.2244,0.2351
nnn.ann,1395,2084,271,1380,0.1729,0.1557,0.1721,0.1943,0.2044
nnn.anc,1395,2084,256,1380,0.1675,0.1494,0.1614,0.1835,0.1936
nnn.atn,1395,2084,313,1378,0.2109,0.1891,0.2101,0.2244,0.2351
nnn.atc,1395,2084,313,1378,0.2109,0.1891,0.2101,0.2244,0.2351
nnn.bnn,1395,2084,254,1380,0.1646,0.1470,0.1616,0.1821,0.1922
nnn.bnc,1395,2084,257,1380,0.1675,0.1500,0.1641,0.1842,0.1943
nnn.btn,1395,2084,313,1378,0.2106,0.1889,0.2101,0.2244,0.2351
nnn.btc,1395,2084,313,1378,0.2106,0.1889,0.2101,0.2244,0.2351
nnc.nnn,1395,2084,350,1376,0.2313,0.2125,0.2217,0.2509,0.2570
nnc.nnc,1395,2084,350,1376,0.2312,0.2122,0.2217,0.2509,0.2570
nnc.ntn,1395,2084,375,1382,0.2615,0.2412,0.2431,0.2688,0.2735
nnc.ntc,1395,2084,375,1382,0.2615,0.2412,0.2431,0.2688,0.2735
nnc.lnn,1395,2084,353,1376,0.2331,0.2132,0.2228,0.2530,0.2591
nnc.lnc,1395,2084,353,1376,0.2330,0.2130,0.2228,0.2530,0.2591
nnc.ltn,1395,2084,377,1382,0.2636,0.2420,0.2440,0.2703,0.2749
nnc.ltc,1395,2084,377,1382,0.2636,0.2420,0.2440,0.2703,0.2749
nnc.ann,1395,2084,357,1376,0.2335,0.2122,0.2244,0.2559,0.2620
nnc.anc,1395,2084,356,1376,0.2336,0.2123,0.2242,0.2552,0.2613
nnc.atn,1395,2084,379,1382,0.2639,0.2432,0.2448,0.2717,0.2763
nnc.atc,1395,2084,379,1382,0.2639,0.2432,0.2448,0.2717,0.2763
nnc.bnn,1395,2084,355,1376,0.2338,0.2130,0.2236,0.2545,0.2606
nnc.bnc,1395,2084,355,1376,0.2336,0.2128,0.2236,0.2545,0.2606
nnc.btn,1395,2084,378,1382,0.2640,0.2427,0.2444,0.2710,0.2756
nnc.btc,1395,2084,378,1382,0.2640,0.2427,0.2444,0.2710,0.2756
ntn.nnn,1395,2084,312,1378,0.2096,0.1892,0.2086,0.2237,0.2344
ntn.nnc,1395,2084,312,1378,0.2096,0.1892,0.2086,0.2237,0.2344
ntn.ntn,1395,2084,316,1379,0.2186,0.2025,0.2125,0.2265,0.2367
ntn.ntc,1395,2084,316,1379,0.2186,0.2025,0.2125,0.2265,0.2367
ntn.lnn,1395,2084,313,1378,0.2100,0.1891,0.2101,0.2244,0.2351
ntn.lnc,1395,2084,313,1378,0.2100,0.1891,0.2101,0.2244,0.2351
ntn.ltn,1395,2084,318,1379,0.2187,0.2023,0.2144,0.2280,0.2381
ntn.ltc,1395,2084,318,1379,0.2187,0.2023,0.2144,0.2280,0.2381
ntn.ann,1395,2084,313,1378,0.2109,0.1891,0.2101,0.2244,0.2351
ntn.anc,1395,2084,313,1378,0.2109,0.1891,0.2101,0.2244,0.2351
ntn.atn,1395,2084,317,1379,0.2182,0.2006,0.2130,0.2272,0.2374
ntn.atc,1395,2084,317,1379,0.2182,0.2006,0.2130,0.2272,0.2374
