Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,2790,2084,121,2790,0.0380,0.0311,0.0502,0.0434,0.0434
nnc.nnn,2790,2084,328,2743,0.1260,0.1032,0.1854,0.1176,0.1296
ntc.nnn,2790,2084,481,2762,0.2078,0.1866,0.2794,0.1724,0.1774
ntn.nnn,2790,2084,349,2750,0.1390,0.1210,0.2160,0.1251,0.1360
lnn.nnn,2790,2084,319,2761,0.1200,0.0988,0.1698,0.1143,0.1247
ltn.nnn,2790,2084,549,2756,0.2365,0.2107,0.3193,0.1968,0.2022
ltc.nnn,2790,2084,503,2759,0.2122,0.1958,0.2864,0.1803,0.1837
lnc.nnn,2790,2084,330,2741,0.1328,0.1147,0.1866,0.1183,0.1258
bnn.nnn,2790,2084,420,2761,0.1658,0.1407,0.2246,0.1505,0.1609
btc.nnn,2790,2084,483,2758,0.2086,0.1944,0.2808,0.1731,0.1766
btn.nnn,2790,2084,609,2762,0.2628,0.2438,0.3460,0.2183,0.2233
bnc.nnn,2790,2084,343,2741,0.1316,0.1123,0.1922,0.1229,0.1305
atc.nnn,2790,2084,459,2759,0.1891,0.1714,0.2678,0.1645,0.1679
atn.nnn,2790,2084,658,2751,0.2930,0.2784,0.3750,0.2358,0.2416
anc.nnn,2790,2084,322,2743,0.1186,0.1017,0.1825,0.1154,0.1208
ann.nnn,2790,2084,503,2737,0.2149,0.1887,0.2794,0.1803,0.1866
nnn.nnc,2790,2084,123,2790,0.0382,0.0312,0.0501,0.0441,0.0441
nnc.nnc,2790,2084,328,2743,0.1261,0.1033,0.1854,0.1176,0.1296
ntc.nnc,2790,2084,481,2762,0.2078,0.1866,0.2794,0.1724,0.1774
ntn.nnc,2790,2084,349,2750,0.1390,0.1210,0.2160,0.1251,0.1360
lnn.nnc,2790,2084,318,2761,0.1199,0.0988,0.1693,0.1140,0.1244
ltn.nnc,2790,2084,549,2756,0.2365,0.2107,0.3193,0.1968,0.2022
ltc.nnc,2790,2084,503,2759,0.2122,0.1958,0.2864,0.1803,0.1837
lnc.nnc,2790,2084,330,2741,0.1328,0.1147,0.1866,0.1183,0.1258
bnn.nnc,2790,2084,420,2761,0.1658,0.1407,0.2246,0.1505,0.1609
