Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,1245,324,44,1228,0.0619,0.0531,0.1023,0.0353,0.0394
nnc.nnn,1245,324,133,1044,0.2763,0.2876,0.4402,0.1068,0.1934
ntc.nnn,1245,324,207,869,0.4770,0.4969,0.6542,0.1663,0.3702
ntn.nnn,1245,324,117,1155,0.1695,0.1613,0.3469,0.0940,0.1200
lnn.nnn,1245,324,133,1122,0.1997,0.1909,0.3887,0.1068,0.1484
ltn.nnn,1245,324,218,868,0.4351,0.4445,0.6918,0.1751,0.3496
ltc.nnn,1245,324,228,791,0.5443,0.5636,0.7320,0.1831,0.4438
lnc.nnn,1245,324,167,1004,0.3607,0.3776,0.5372,0.1341,0.2465
bnn.nnn,1245,324,180,1043,0.2893,0.2909,0.5349,0.1446,0.2213
btc.nnn,1245,324,222,812,0.5211,0.5396,0.7235,0.1783,0.4206
btn.nnn,1245,324,226,841,0.4773,0.4897,0.7074,0.1815,0.3865
bnc.nnn,1245,324,156,1042,0.3346,0.3511,0.5187,0.1253,0.2283
atc.nnn,1245,324,206,860,0.4751,0.4951,0.6684,0.1655,0.3791
atn.nnn,1245,324,234,816,0.5111,0.5271,0.7268,0.1880,0.4298
anc.nnn,1245,324,135,1092,0.2527,0.2685,0.4195,0.1084,0.1734
ann.nnn,1245,324,207,891,0.4234,0.4366,0.6621,0.1663,0.3352
nnn.nnc,1245,324,44,1228,0.0620,0.0533,0.0970,0.0353,0.0394
nnc.nnc,1245,324,133,1044,0.2763,0.2876,0.4402,0.1068,0.1934
ntc.nnc,1245,324,207,869,0.4770,0.4969,0.6542,0.1663,0.3702
ntn.nnc,1245,324,117,1155,0.1695,0.1613,0.3469,0.0940,0.1200
lnn.nnc,1245,324,133,1122,0.1997,0.1909,0.3887,0.1068,0.1484
ltn.nnc,1245,324,218,868,0.4351,0.4445,0.6918,0.1751,0.3496
ltc.nnc,1245,324,228,791,0.5443,0.5636,0.7320,0.1831,0.4438
lnc.nnc,1245,324,167,1004,0.3607,0.3776,0.5372,0.1341,0.2465
bnn.nnc,1245,324,180,1043,0.2893,0.2909,0.5349,0.1446,0.2213
btc.nnc,1245,324,222,812,0.5211,0.5396,0.7235,0.1783,0.4206
btn.nnc,1245,324,226,841,0.4773,0.4897,0.7074,0.1815,0.3865
bnc.nnc,1245,324,156,1042,0.3346,0.3511,0.5187,0.1253,0.2283
atc.nnc,1245,324,206,860,0.4751,0.4951,0.6684,0.1655,0.3791
atn.nnc,1245,324,234,816,0.5111,0.5271,0.7268,0.1880,0.4298
anc.nnc,1245,324,135,1092,0.2527,0.2685,0.4195,0.1084,0.1734
ann.nnc,1245,324,206,891,0.4234,0.4366,0.6606,0.1655,0.3344
nnn.ntc,1245,324,117,1155,0.1695,0.1613,0.3469,0.0940,0.1200
nnc.ntc,1245,324,220,818,0.5350,0.5573,0.7102,0.1767,0.4260
ntc.ntc,1245,324,233,769,0.5625,0.5845,0.7463,0.1871,0.4576
ntn.ntc,1245,324,212,886,0.4286,0.4414,0.6918,0.1703,0.3331
lnn.ntc,1245,324,218,868,0.4351,0.4445,0.6918,0.1751,0.3496
ltn.ntc,1245,324,230,792,0.5134,0.5275,0.7399,0.1847,0.4200
ltc.ntc,1245,324,232,760,0.5784,0.5971,0.7390,0.1863,0.4821
lnc.ntc,1245,324,225,774,0.5680,0.5877,0.7264,0.1807,0.4641
bnn.ntc,1245,324,226,841,0.4773,0.4897,0.7074,0.1815,0.3865
btc.ntc,1245,324,230,772,0.5592,0.5800,0.7359,0.1847,0.4630
btn.ntc,1245,324,236,798,0.5199,0.5318,0.7533,0.1896,0.4420
bnc.ntc,1245,324,227,779,0.5518,0.5710,0.7331,0.1823,0.4583
atc.ntc,1245,324,218,828,0.5094,0.5280,0.7091,0.1751,0.4134
atn.ntc,1245,324,234,804,0.5158,0.5339,0.7454,0.1880,0.4286
anc.ntc,1245,324,214,832,0.5157,0.5355,0.7007,0.1719,0.4136
ann.ntc,1245,324,234,816,0.5111,0.5271,0.7268,0.1880,0.4298
nnn.ntn,1245,324,117,1155,0.1695,0.1613,0.3469,0.0940,0.1200
nnc.ntn,1245,324,220,818,0.5350,0.5573,0.7102,0.1767,0.4260
ntc.ntn,1245,324,233,769,0.5625,0.5845,0.7463,0.1871,0.4576
ntn.ntn,1245,324,212,886,0.4286,0.4414,0.6918,0.1703,0.3331
lnn.ntn,1245,324,218,868,0.4351,0.4445,0.6918,0.1751,0.3496
ltn.ntn,1245,324,230,792,0.5134,0.5275,0.7399,0.1847,0.4200
ltc.ntn,1245,324,232,760,0.5784,0.5971,0.7390,0.1863,0.4821
lnc.ntn,1245,324,225,774,0.5680,0.5877,0.7264,0.1807,0.4641
bnn.ntn,1245,324,226,841,0.4773,0.4897,0.7074,0.1815,0.3865
