Combination,Retrieved,Relevant,Rel_ret,Trunc_ret,11-pt Avg,3-pt Avg,Recall_Exact,Precision_Exact,Truncated_Precision_Exact
nnn.nnn,1245,324,47,1228,0.0690,0.0620,0.1090,0.0378,0.0418
nnc.nnn,1245,324,152,989,0.3486,0.3636,0.4904,0.1221,0.2499
ntc.nnn,1245,324,218,831,0.5220,0.5435,0.7170,0.1751,0.4000
ntn.nnn,1245,324,129,1124,0.1967,0.1902,0.4083,0.1036,0.1458
lnn.nnn,1245,324,136,1125,0.1970,0.1896,0.4119,0.1092,0.1452
ltn.nnn,1245,324,221,877,0.4325,0.4467,0.7029,0.1775,0.3376
ltc.nnn,1245,324,234,780,0.5861,0.6116,0.7438,0.1880,0.4727
lnc.nnn,1245,324,172,966,0.4067,0.4272,0.5861,0.1382,0.2769
bnn.nnn,1245,324,174,1059,0.2732,0.2794,0.5277,0.1398,0.1998
btc.nnn,1245,324,229,813,0.5751,0.6003,0.7105,0.1839,0.4643
btn.nnn,1245,324,228,838,0.4759,0.4916,0.7137,0.1831,0.3778
bnc.nnn,1245,324,169,1011,0.3659,0.3885,0.5662,0.1357,0.2504
atc.nnn,1245,324,214,888,0.5074,0.5286,0.6712,0.1719,0.3933
atn.nnn,1245,324,231,805,0.5372,0.5502,0.7240,0.1855,0.4419
anc.nnn,1245,324,149,1073,0.2780,0.2940,0.4898,0.1197,0.1981
ann.nnn,1245,324,198,919,0.4017,0.4103,0.6434,0.1590,0.2979
nnn.nnc,1245,324,47,1228,0.0691,0.0620,0.1090,0.0378,0.0418
nnc.nnc,1245,324,152,989,0.3486,0.3636,0.4904,0.1221,0.2499
ntc.nnc,1245,324,218,831,0.5220,0.5435,0.7170,0.1751,0.4000
ntn.nnc,1245,324,129,1124,0.1967,0.1902,0.4083,0.1036,0.1458
lnn.nnc,1245,324,136,1125,0.1970,0.1896,0.4119,0.1092,0.1452
ltn.nnc,1245,324,221,877,0.4325,0.4467,0.7029,0.1775,0.3376
ltc.nnc,1245,324,234,780,0.5861,0.6116,0.7438,0.1880,0.4727
lnc.nnc,1245,324,172,966,0.4067,0.4272,0.5861,0.1382,0.2769
bnn.nnc,1245,324,174,1059,0.2732,0.2794,0.5277,0.1398,0.1998
btc.nnc,1245,324,229,813,0.5751,0.6003,0.7105,0.1839,0.4643
btn.nnc,1245,324,228,838,0.4759,0.4916,0.7137,0.1831,0.3778
bnc.nnc,1245,324,169,1011,0.3659,0.3885,0.5662,0.1357,0.2504
atc.nnc,1245,324,214,888,0.5074,0.5286,0.6712,0.1719,0.3933
atn.nnc,1245,324,231,805,0.5372,0.5502,0.7240,0.1855,0.4419
anc.nnc,1245,324,149,1073,0.2780,0.2940,0.4898,0.1197,0.1981
ann.nnc,1245,324,198,919,0.4017,0.4102,0.6434,0.1590,0.2979
nnn.ntc,1245,324,129,1124,0.1967,0.1902,0.4083,0.1036,0.1458
nnc.ntc,1245,324,226,812,0.5305,0.5524,0.7241,0.1815,0.4225
ntc.ntc,1245,324,238,738,0.6004,0.6224,0.7513,0.1912,0.4984
ntn.ntc,1245,324,211,870,0.4461,0.4571,0.6795,0.1695,0.3533
lnn.ntc,1245,324,221,877,0.4325,0.4467,0.7029,0.1775,0.3376
ltn.ntc,1245,324,236,770,0.5408,0.5579,0.7466,0.1896,0.4402
ltc.ntc,1245,324,246,739,0.6228,0.6448,0.7651,0.1976,0.5225
lnc.ntc,1245,324,235,751,0.6170,0.6405,0.7440,0.1888,0.5054
bnn.ntc,1245,324,228,838,0.4759,0.4916,0.7137,0.1831,0.3778
btc.ntc,1245,324,242,774,0.5858,0.6070,0.7575,0.1944,0.4833
btn.ntc,1245,324,240,763,0.5546,0.5699,0.7525,0.1928,0.4685
bnc.ntc,1245,324,236,770,0.5976,0.6228,0.7463,0.1896,0.4921
atc.ntc,1245,324,225,861,0.5406,0.5616,0.7077,0.1807,0.4222
atn.ntc,1245,324,236,773,0.5709,0.5854,0.7490,0.1896,0.4803
anc.ntc,1245,324,227,836,0.5375,0.5575,0.7208,0.1823,0.4339
ann.ntc,1245,324,231,805,0.5372,0.5502,0.7240,0.1855,0.4419
nnn.ntn,1245,324,129,1124,0.1967,0.1902,0.4083,0.1036,0.1458
nnc.ntn,1245,324,226,812,0.5305,0.5524,0.7241,0.1815,0.4225
ntc.ntn,1245,324,238,738,0.6004,0.6224,0.7513,0.1912,0.4984
ntn.ntn,1245,324,211,870,0.4461,0.4571,0.6795,0.1695,0.3533
lnn.ntn,1245,324,221,877,0.4325,0.4467,0.7029,0.1775,0.3376
ltn.ntn,1245,324,236,770,0.5408,0.5579,0.7466,0.1896,0.4402
ltc.ntn,1245,324,246,739,0.6228,0.6448,0.7651,0.1976,0.5225
lnc.ntn,1245,324,235,751,0.6170,0.6405,0.7440,0.1888,0.5054
bnn.ntn,1245,324,228,838,0.4759,0.4916,0.7137,0.1831,0.3778
btc.ntn,1245,324,242,774,0.5858,0.6070,0.7575,0.1944,0.4833
btn.ntn,1245,324,240,763,0.5546,0.5699,0.7525,0.1928,0.4685
bnc.ntn,1245,324,236,770,0.5976,0.6228,0.7463,0.1896,0.4921
atc.ntn,1245,324,225,861,0.5406,0.5616,0.7077,0.1807,0.4222
atn.ntn,1245,324,236,773,0.5709,0.5854,0.7490,0.1896,0.4803
anc.ntn,1245,324,227,836,0.5375,0.5575,0.7208,0.1823,0.4339
ann.ntn,1245,324,231,805,0.5372,0.5502,0.7240,0.1855,0.4419
